225,1023,Banka,225,Banka,Banka,8,Banka,"[""Banka""]",1400000,1400000,1400000,1,1,1,2,1,2,8,1,
411,2212,Mahasamund,411,Mahasamund,Mahasamund,9,Mahasamund,"[""Mahasamund""]",1500000,1500000,1500000,1,1,1,1,2,2,8,1,
224,1022,Bhagalpur,224,Bhagalpur,Bhagalpur,8,Bhagalpur,"[""Bhagalpur""]",2100000,2100000,2100000,1,1,1,2,1,2,8,1,
215,1013,Darbhanga,215,Darbhanga,Darbhanga,8,Darbhanga,"[""Darbhanga""]",2600000,2600000,2600000,1,1,1,2,1,2,8,1,
396,2127,Rayagada,396,Rayagada  ,Rayagada,7,Rayagada,"[""Rayagada""]",4100000,4100000,4100000,1,1,1,1,2,2,8,1,
221,1019,Samastipur,221,Samastipur,Samastipur,8,Samastipur,"[""Samastipur""]",4400000,4400000,4400000,1,1,1,2,1,2,8,1,
239,1037,Jehanabad,239,Jehanabad ,Jehanabad ,8,Jehanabad,"[""Jehanabad""]",4800000,4800000,4800000,1,1,1,2,1,2,8,1,
229,1027,Nalanda,229,Nalanda,Nalanda,8,Nalanda,"[""Nalanda""]",5300000,5300000,5300000,1,1,1,2,1,2,8,1,
453,2336,Dindori,453,Dindori ,Dindori,8,Dindori,"[""Dindori""]",7900000,7900000,7900000,1,1,2,1,1,2,8,1,
223,1021,Khagaria,223,Khagaria,Khagaria,8,Khagaria,"[""Khagaria""]",8000000,8000000,8000000,1,1,1,2,1,2,8,1,
216,1014,Muzaffarpur,216,Muzaffarpur,Muzaffarpur,8,Muzaffarpur,"[""Muzaffarpur""]",8600000,8600000,8600000,1,1,1,2,1,2,8,1,
214,1012,Saharsa,214,Saharsa,Saharsa,8,Saharsa,"[""Saharsa""]",11000000,11000000,11000000,1,1,1,2,1,2,8,1,
418,2301,Sheopur,418,Sheopur ,Sheopur,8,Sheopur,"[""Sheopur""]",12900000,12900000,12900000,1,1,1,1,2,2,8,1,
233,1031,Kaimur,233,Kaimur (Bhabua),Kaimur (Bhabua),8,Kadapa,"[""YSR District Kadapa"",""Kadapa"",""Cuddapah""]",14200000,14200000,14200000,1,1,1,2,1,2,8,1,
236,1034,Gaya,236,Gaya,Gaya,8,Gaya,"[""Gaya""]",19100000,19100000,19100000,1,1,1,2,1,2,8,1,
124,826,Dungarpur,124,Dungarpur ,Dungarpur,8,Dungarpur,"[""Dungarpur""]",21700000,21700000,21700000,1,1,1,1,2,2,8,1,
167,936,Lalitpur,167,Lalitpur,Lalitpur,8,Lalitpur,"[""Lalitpur""]",21900000,21900000,21900000,1,1,2,1,1,2,8,1,
222,1020,Begusarai,222,Begusarai,Begusarai,8,Begusarai,"[""Begusarai""]",51100000,51100000,51100000,1,1,1,2,1,2,8,1,
