census_code,id,dist_name,id(ours),dist_name(ors),,,,seperated from
57,502,Chamoli,57,Chamoli,Chamoli,Chamoli,14,
65,510,Champawat,65,Champawat,,Champawat,1,
284,1504,Champhai,284,Champhai,,Champhai,0,
196,965,Chandauli,196,Chandauli,,Chandauli,0,
280,1409,Chandel,280,Chandel,,Chandel,0,
55,401,Chandigarh,55,Chandigarh,Chandigarh,Chandigarh,83,
509,2713,Chandrapur,509,Chandrapur,Chandrapur,Chandrapur,18,
253,1209,Changlang,253,Changlang,Changlang,Changlang,0,
347,2002,Chatra,347,Chatra,,Chatra,4,
603,3302,Chennai,603,Chennai,Chennai,Chennai,235,
425,2308,Chhatarpur,425,Chhatarpur,Chhatarpur,Chhatarpur,1,
455,2338,Chhindwara,455,Chhindwara,Chhindwara,Chhindwara,12,
570,2916,Chikkamagaluru,570,Chikmagalur,Chikkamagaluru,Chikkamagaluru,3,
566,2912,Chitradurga,566,Chitradurga,Chitradurga,Chitradurga,42,
171,940,Chitrakoot,171,Chitrakoot,,Chitrakoot,0,
126,828,Chittaurgarh,126,Chittaurgarh ,Chittaurgarh,Chittaurgarh,29,Pratapgarh 
554,3713,Chittoor,554,Chittoor,Chittoor,Chittoor,46,
274,1403,Churachandpur,274,Churachandpur,,Churachandpur,1,
102,804,Churu,102,Churu ,Churu,Churu,0,
632,3331,Coimbatore,632,Coimbatore,Coimbatore,Coimbatore,126,Tiruppur
329,1903,Cooch Behar,329,Koch Bihar ,,Cooch Behar,0,
617,3316,Cuddalore,617,Cuddalore,Cuddalore,Cuddalore,10,
381,2112,Cuttack,381,Cuttack,Cuttack,Cuttack,4,
496,2601,Dadra and Nagar Haveli,496,Dadra & Nagar Haveli,,Dadra,470,
485,2418,Dahod,485,Dahod,Dahod,Dahod,0,
331,1905,Dakshin Dinajpur,331,Dakshin Dinajpur,,Dakshin Dinajpur,0,
575,2921,Dakshina Kannada,575,Dakshina Kannada,Dakshina Kannada,Dakshina Kannada,11,
495,2502,Daman,495,Daman,Daman,Daman,113,
428,2311,Damoh,428,Damoh,Damoh,Damoh,0,
489,2422,Dang,489,The Dangs,Dang,Dang,0,
416,2217,Dantewada,416,Dakshin Bastar Dantewada,,Dantewada,4,Bijapur
215,1013,Darbhanga,215,Darbhanga,Darbhanga,Darbhanga,0,
327,1901,Darjeeling,327,Darjiling ,Darjeeling,Darjeeling,27,
325,1826,Darrang,325,Darrang,Darrang,Darrang,9,Udalguri
422,2305,Datia,422,Datia,Datia,Datia,0,
109,811,Dausa,109,Dausa ,,Dausa,0,
