census_code,id,dist_name,id(ours),dist_name(ors),,,,seperated from
593,3206,Palakkad,593,Palakkad,Palakkad,Palakkad,15,
358,2013,Palamu,358,Palamu,Palamu,Palamu,1,Latehar
118,820,Pali,118,Pali ,Pali,Pali,2,
69,601,Panchkula,69,Panchkula,Panchkula,Panchkula,34,
484,2417,Panchmahal,484,Panchmahal,Panchmahal,Panchmahal,44,
75,607,Panipat,75,Panipat,Panipat,Panipat,6,
426,2309,Panna,426,Panna,,Panna,0,
248,1204,Papum Pare,248,Papum Pare,Papum Pare,Papum Pare,1,
513,2717,Parbhani,513,Parbhani,Parbhani,Parbhani,28,
203,1001,Pashchim Champaran,203,Pashchim Champaran,,Pashchim Champaran,0,
470,2403,Patan,470,Patan  ,Patan,Patan,80,
599,3212,Pathanamthitta,599,Pathanamthitta,Pathanamthitta,Pathanamthitta,2,
48,314,Patiala,48,Patiala,Patiala,Patiala,6,Sahibzada Ajit Singh Nagar
230,1028,Patna,230,Patna,Patna,Patna,37,
61,506,Pauri Garhwal,61,Garhwal,Pauri Garhwal,Pauri Garhwal,3,
615,3314,Perambalur,615,Perambalur  ,Perambalur,Perambalur,6,
266,1306,Phek,266,Phek,Phek,Phek,0,
151,920,Pilibhit,151,Pilibhit,Pilibhit,Pilibhit,0,
62,507,Pithoragarh,62,Pithoragarh,Pithoragarh,Pithoragarh,1,
635,3402,Pondicherry,635,Puducherry,Pondicherry,Pondicherry,81,
5,105,Poonch,5,punch,,Poonch,0,
478,2411,Porbandar,478,Porbandar ,Porbandar,Porbandar,7,
549,3708,Prakasam,549,Prakasam,Prakasam,Prakasam,28,
173,833,Pratapgarh,173,Pratapgarh,Pratapgarh,Pratapgarh,0,
621,3320,Pudukkottai,621,Pudukkottai,Pudukkottai,Pudukkottai,13,
12,112,Pulwama,12,Pulwama,Pulwama,Pulwama,0,
521,2725,Pune,521,Pune,Pune,Pune,799,
387,2118,Puri,387,Puri,Puri,Puri,0,
211,1009,Purnia,211,Purnia,,Purnia,0,
340,1914,Purulia,340,Puruliya,Purulia,Purulia,7,
204,1002,Purvi Champaran,204,Purba Champaran,,Purvi Champaran,0,
158,927,Rae Bareli,158,Rae Bareli,Rae Bareli,Rae Bareli,12,
559,2905,Raichur,559,Raichur,Raichur,Raichur,6,
403,2724,Raigad,403,Raigarh,Raigad,Raigad,1300,
520,2204,Raigarh,520,Raigarh,Raigarh,Raigarh,0,
410,2211,Raipur,410,Raipur,Raipur,Raipur,39,
446,2329,Raisen,446,Raisen,Raisen,Raisen,32,
442,2325,Rajgarh,442,Rajgarh,,Rajgarh,2,
476,2409,Rajkot,476,Rajkot,Rajkot,Rajkot,20,
408,2209,Rajnandgaon,408,Rajnandgaon,Rajnandgaon,Rajnandgaon,7,
6,106,Rajouri,6,Rajouri,,Rajouri,2,
123,825,Rajsamand,123,Rajsamand,Rajsamand,Rajsamand,4,
626,3325,Ramanathapuram,626,Ramanathapuram,Ramanathapuram,Ramanathapuram,1,
136,905,Rampur,136,Rampur,Rampur,Rampur,9,
364,2019,Ranchi,364,Ranchi,Ranchi,Ranchi,48,Khunti
537,3606,Ranga Reddy,537,Rangareddy,Ranga Reddy,Ranga Reddy,117,
434,2317,Ratlam,434,Ratlam,Ratlam,Ratlam,8,
528,2732,Ratnagiri,528,Ratnagiri,Ratnagiri,Ratnagiri,29,
396,2127,Rayagada,396,Rayagada  ,Rayagada,Rayagada,2,
430,2313,Rewa,430,Rewa,Rewa,Rewa,5,
85,617,Rewari,85,Rewari,Rewari,Rewari,53,
297,1705,Ri-Bhoi,297,Ribhoi,,Ri-Bhoi,1,
82,614,Rohtak,82,Rohtak,Rohtak,Rohtak,6,
234,1032,Rohtas,234,Rohtas,,Rohtas,2,
58,503,Rudraprayag,58,Rudraprayag,Rudraprayag,Rudraprayag,6,
51,317,Rupnagar,51,Rupnagar,,Rupnagar,120,
472,2405,Sabarkatha,472,Sabar Kantha,Sabarkatha,Sabarkatha,3,Aravalli
427,2310,Sagar,427,Sagar,Sagar,Sagar,0,
132,901,Saharanpur,132,Saharanpur,Saharanpur,Saharanpur,20,
214,1012,Saharsa,214,Saharsa,Saharsa,Saharsa,0,
352,2007,Sahibganj,352,Sahibganj,,Sahibganj,0,
288,1508,Saiha,288,Saiha,Saiha,Saiha,0,
608,3307,Salem,608,Salem,Salem,Salem,31,
221,1019,Samastipur,221,Samastipur,Samastipur,Samastipur,1,
372,2103,Sambalpur,372,Sambalpur,Sambalpur,Sambalpur,4,
531,2735,Sangli,531,Sangli,Sangli,Sangli,10,
53,319,Sangrur,53,Sangrur,Sangrur,Sangrur,195,Barnala
186,955,Sant Kabir Nagar,186,Sant Kabir Nagar,Sant Kabir Nagar,Sant Kabir Nagar,1,
198,967,Sant Ravidas Nagar,198,Sant Ravidas Nagar (Bhadohi),,Sant Ravidas Nagar,0,
219,1017,Saran,219,Saran,Saran,Saran,0,
527,2731,Satara,527,Satara,Satara,Satara,62,
429,2312,Satna,429,Satna,Satna,Satna,10,
108,810,Sawai Madhopur,108,Sawai Madhopur ,Sawai Madhopur,Sawai Madhopur,1,
445,2328,Sehore,445,Sehore,Sehore,Sehore,64,
272,1401,Senapati,272,Senapati,Senapati,Senapati,1,
456,2339,Seoni,456,Seoni,Seoni,Seoni,1,
285,1505,Serchhip,285,Serchhip,,Serchhip,0,
460,2343,Shahdol,460,Shahdol,Shahdol,Shahdol,271,Anuppur
39,305,Shaheed Bhagat Singh Nagar,39,Shahid Bhagat Singh Nagar ,,Shaheed Bhagat Singh Nagar,0,
152,921,Shahjahanpur,152,Shahjahanpur,Shahjahanpur,Shahjahanpur,5,
436,2319,Shajapur,436,Shajapur,,Shajapur,11,
228,1026,Sheikhpura,228,Sheikhpura,,Sheikhpura,0,
205,1003,Sheohar,205,Sheohar,,Sheohar,0,
418,2301,Sheopur,418,Sheopur ,Sheopur,Sheopur,0,
33,211,Shimla,33,Shimla,Shimla,Shimla,11,
568,2914,Shimoga,568,Shimoga,Shimoga,Shimoga,4,
423,2306,Shivpuri,423,Shivpuri,,Shivpuri,0,
181,950,Shrawasti,181,Shrawasti,Shrawasti,Shrawasti,0,
184,953,Siddharthnagar,184,Siddharthnagar,,Siddharthnagar,0,
462,2345,Sidhi,462,Sidhi,Sidhi,Sidhi,20,Singrauli
111,813,Sikar,111,Sikar,Sikar,Sikar,2,
529,2733,Sindhudurg,529,Sindhudurg,Sindhudurg,Sindhudurg,3,
32,210,Sirmaur,32,Sirmaur,,Sirmaur,46,
117,819,Sirohi,117,Sirohi,Sirohi,Sirohi,4,
79,611,Sirsa,79,Sirsa,Sirsa,Sirsa,0,
206,1004,Sitamarhi,206,Sitamarhi,Sitamarhi,Sitamarhi,2,
154,923,Sitapur,154,Sitapur,Sitapur,Sitapur,12,
622,3321,Sivaganga,622,Sivaganga,Sivaganga,Sivaganga,4,
311,1812,Sivasagar,311,Sivasagar,,Sivasagar,5,
218,1016,Siwan,218,Siwan,Siwan,Siwan,0,
31,209,Solan,31,Solan,Solan,Solan,181,
526,2730,Solapur,526,Solapur,Solapur,Solapur,34,
200,969,Sonbhadra,200,Sonbhadra,Sonbhadra,Sonbhadra,28,
76,608,Sonepat,76,Sonipat,Sonepat,Sonepat,16,
306,1807,Sonitpur,306,Sonitpur,Sonitpur,Sonitpur,8,
343,1917,South 24 Parganas,343,South Twenty Four Parganas,South 24 Parganas,South 24 Parganas,21,
98,709,South Delhi,98,South Delhi,South Delhi,South Delhi,34,South East Delhi
295,1703,South Garo Hills,295,South Garo Hills,,South Garo Hills,0,
586,3002,South Goa,586,South Goa,South Goa,South Goa,48,
244,1103,South Sikkim,243,South District,South Sikkim,South Sikkim,8,
290,1602,South Tripura,290,South Tripura ,South Tripura,South Tripura,0,
97,708,South West  Delhi,97,South West,,South West Delhi,16,
99,801,Sri Ganganagar,99,Sri Ganganagar,Sri Ganganagar,Sri Ganganagar,2,
44,310,Sri Muktsar Sahib,44,Muktsar,Sri Muktsar Sahib,Sri Muktsar Sahib,1,
542,3701,Srikakulam,542,Srikakulam,Srikakulam,Srikakulam,26,
10,110,Srinagar,10,Srinagar,Srinagar,Srinagar,0,Ganderbal
392,2123,Subarnapur,392,Subarnapur,,Subarnapur,0,
179,948,Sultanpur,179,Sultanpur,Sultanpur,Sultanpur,6,
374,2105,Sundargarh,374,Sundargarh,Amethi,Sundargarh,32,
208,1006,Supaul,208,Supaul,,Supaul,1,
492,2425,Surat,492,Surat,Surat,Surat,346,Tapi
475,2408,Surendranagar,475,Surendranagar,Surendranagar,Surendranagar,6,Morbi
401,2202,Surguja,401,Surguja,Surguja,Surguja,0,Surajpur
273,1402,Tamenglong,273,Tamenglong ,,Tamenglong,0,
245,1201,Tawang,245,Tawang,,Tawang,0,
59,504,Tehri Garhwal,59,Tehri Garhwal,Tehri Garhwal,Tehri Garhwal,0,
517,2721,Thane,517,Thane,Thane,Thane,445,Palghar
620,3319,Thanjavur,620,Thanjavur,Thanjavur,Thanjavur,5,
624,3323,Theni,624,Theni  ,Theni,Theni,3,
601,3214,Thiruvananthapuram,601,Thiruvananthapuram,Thiruvananthapuram,Thiruvananthapuram,5,
619,3318,Thiruvarur,619,Thiruvarur,Thiruvarur,Thiruvarur,0,
627,3326,Thoothukudi,627,Thoothukkudi,Thoothukudi,Thoothukudi,21,
276,1405,Thoubal,276,Thoubal,Thoubal,Thoubal,0,
594,3207,Thrissur,594,Thrissur,Thrissur,Thrissur,5,
424,2307,Tikamgarh,424,Tikamgarh,Tikamgarh,Tikamgarh,0,
309,1810,Tinsukia,309,Tinsukia,Tinsukia,Tinsukia,13,
254,1210,Tirap,254,Tirap,,Tirap,0,
614,3313,Tiruchirappalli,614,Tiruchirappalli,Tiruchirappalli,Tiruchirappalli,5,
,3327,Tirunelveli,628,Tirunelveli ,Tirunelveli,Tirunelveli,79,
602,3301,Tiruvallur,602,Thiruvallur,Tiruvallur,Tiruvallur,140,
606,3305,Tiruvannamalai,606,Tiruvannamalai,Tiruvannamalai,Tiruvannamalai,5,
120,822,Tonk,120,Tonk ,Tonk,Tonk,8,
267,1307,Tuensang,267,Tuensang,,Tuensang,0,"Longleng, Kiphire"
571,2917,Tumkur,571,Tumkur,Tumkur,Tumakuru,10,
130,832,Udaipur,130,Udaipur,Udaipur,Udaipur,12,
67,512,Udham Singh Nagar,67,Udham Singh Nagar,Udham Singh Nagar,Udham Singh Nagar,207,
19,119,Udhampur,19,Udhampur,Udhampur,Udhampur,2,Reasi
569,2915,Udupi,569,Udupi,Udupi,Udupi,10,
435,2318,Ujjain,435,Ujjain,Ujjain,Ujjain,10,
279,1408,Ukhrul,279,Ukhrul,,Ukhrul,0,
431,2314,Umaria,431,Umaria,,Umaria,0,
29,207,Una,29,Una,Una,Una,4,
156,925,Unnao,156,Unnao,Unnao,Unnao,6,
252,1208,Upper Siang,252,Upper Siang,,Upper Siang,0,
249,1205,Upper Subansiri,249,Upper Subansiri,,Upper Subansiri,0,
330,1904,Uttar Dinajpur,330,Uttar Dinajpur,,Uttar Dinajpur,0,
563,2909,Uttara Kannada,563,Uttara Kannada,Uttara Kannada,Uttara Kannada,4,
56,501,Uttarkashi,56,Uttarkashi,Uttarkashi,Uttarkashi,2,
486,2419,Vadodara,486,Vadodara,Vadodara,Vadodara,363,
220,1018,Vaishali,220,Vaishali,Vaishali,Vaishali,6,
491,2424,Valsad,491,Valsad,Valsad,Valsad,140,
197,966,Varanasi,197,Varanasi,Varanasi,Varanasi,11,
605,3304,Vellore,605,Vellore,Vellore,Vellore,31,
443,2326,Vidisha,443,Vidisha,Vidisha,Vidisha,0,
607,3306,Villupuram,607,Viluppuram,,Villupuram,14,
,3324,Virudhunagar,625,Virudhunagar,Virudhunagar,Virudhunagar,6,
544,3703,Vishakhapatnam,544,Visakhapatnam,Vishakhapatnam,Vishakhapatnam,135,
543,3702,Vizianagaram,543,Vizianagaram,Vizianagaram,Vijayanagaram,22,
540,3609,Warangal,540,Warangal,Warangal Urban,Warangal,11,
504,2708,Wardha,504,Wardha,Wardha,Wardha,5,
502,2706,Washim,502,Washim,Washim,Washim,1,
590,3203,Wayanad,590,Wayanad,Wayanad,Wayanad,0,
96,707,West Delhi,96,West,West Delhi,West Delhi,4,
293,1701,West Garo Hills,293,West Garo Hills,,West Garo Hills,0,
546,3705,West Godavari,546,West Godavari,West Godavari,West Godavari,22,
299,1707,West Jaintia Hills,299,Jaintia Hills,,West Jaintia Hills,0,
246,1202,West Kameng,246,West Kameng,,West Kameng,0,
296,1704,West Khasi Hills,296,West Khasi Hills,,West Khasi Hills,0,
344,1918,West Medinipur,344,Medinipur,,West Medinipur,56,"Purba Medinipur, Paschim Medinipur"
250,1206,West Siang,250,West Siang,,West Siang,0,
243,1102,West Sikkim,242,West District,East Sikkim,West Sikkim,6,
368,2023,West Singhbhum,368,Pashchimi Singhbhum,West Singhbhum,West Singbhum,18,Saraikela-Kharsawan
289,1601,West Tripura,289,West Tripura ,West Tripura,West Tripura,0,
264,1304,Wokha,264,Wokha,,Wokha,0,
71,603,Yamuna Nagar,71,Yamunanagar,Yamuna Nagar,Yamuna Nagar,10,
634,3401,Yanam,634,Yanam,,Yanam,2,
510,2714,Yavatmal,510,Yavatmal,Yavatmal,Yavatmal,14,
263,1303,Zunheboto,263,Zunheboto,,Zunheboto,0,
,,,,,Alipurduar,,,
,,,,,Anuppur,,,
,,,,,Aravalli,,,
,,,,,Baksa,,,
,,,,,Barnala,,,
,,,,,Botad,,,
,,,,,Chirang,,,
,,,,,Hapur,,,
,,,,,Khunti,,,
,,,,,Krishnagiri,,,
,,,,,Lower Dibang Valley,,,
,,,,,Medchal,,,
,,,,,Mewat,,,
,,,,,Morbi,,,
,,,,,Palghar,,,
,,,,,Palwal,,,
,,,,,Ramanagara,,,
,,,,,Ramban,,,
,,,,,Sahibzada Ajit Singh Nagar,,,
,,,,,Samba,,,
,,,,,Sambhal,,,
,,,,,Sangareddy,,,
,,,,,Siddipet,,,
,,,,,Simdega,,,
,,,,,Singrauli,,,
,,,,,South East Delhi,,,
,,,,,Surajpur,,,
,,,,,Suryapet,,,
,,,,,Tapi,,,
,,,,,Tarn Taran,,,
,,,,,Tiruppur,,,
,,,,,Udalguri,,,
,,,,,Unakoti,,,
94,,,,,,,,
153,,,,,,,,
373,,,,,,,,
551,,,,,,,,
