Constituency,District Names,Factory Count,state,Type,Margin %,isMPMinister,centerAlignment,stateAlignment,rs_min_mplad_district,is_backward,ministry_comp_intersection,amount,non_backward,not_aligned,Total,Totalcsr,Avg ADI
BAHARAMPUR,,,WEST BENGAL,GEN,30.9,0,0,0,0,1,0,470000000,0,1,1,0,10
BAHRAICH,bahraich,3,UTTAR PRADESH,SC,10.2,0,1,0,0,1,0,0,0,0,3,0,7
BALAGHAT,balaghat,4,MADHYA PRADESH,GEN,8.6,0,1,1,0,0,0,2780000000,1,0,5,0,10
BALASORE,balasore,,ODISHA,GEN,13.5,0,0,1,0,0,0,1420000000,1,0,9,1,10
BALLIA,ballia,6,UTTAR PRADESH,GEN,14.8,0,1,0,0,0,0,400000000,1,0,1,0,12
BALURGHAT,,,WEST BENGAL,GEN,10.1,0,0,1,0,1,0,0,0,0,0,0,10
BANASKANTHA,banaskantha,2,GUJARAT,GEN,22.8,1,1,1,0,0,1,1000000000,1,0,2,0,14
BANDA,,,UTTAR PRADESH,GEN,13.5,0,1,0,0,1,0,0,0,0,0,0,8
BANGALORE CENTRAL,bangalore urban,127,KARNATAKA,GEN,12.8,0,1,0,1,0,1,75230000000,1,0,389,9,18
BANGALORE NORTH,bangalore urban,127,KARNATAKA,GEN,16.9,1,1,0,1,0,1,75230000000,1,0,389,9,18
BANGALORE RURAL,bangalore rural,126,KARNATAKA,GEN,15.9,0,0,1,1,0,1,124440000000,1,0,512,19,16
BANGALORE SOUTH,bangalore urban,126,KARNATAKA,GEN,20.5,1,1,0,1,0,1,75230000000,1,0,389,9,18
BANGAON,,,WEST BENGAL,SC,11.4,0,0,1,0,1,0,1910000000,0,0,40,0,14
BANKA,,,BIHAR,GEN,1.1,0,0,0,0,1,0,90000000,0,1,10,0,8
BANKURA,bankura,1,WEST BENGAL,GEN,8,0,0,1,0,0,0,4040000000,1,0,19,0,9
BANSGAON,,,UTTAR PRADESH,SC,21.6,0,1,0,0,0,0,700000000,1,0,4,0,11
BANSWARA,"banswada, banswara",5,RAJASTHAN,ST,7.8,0,1,1,0,0,0,210000000,1,0,7,1,7
BAPATLA,,,ANDHRA PRADESH,SC,2.8,0,1,1,0,0,0,6080000000,1,0,49,3,15
BARABANKI,barabanki,7,UTTAR PRADESH,SC,19.8,0,1,0,0,0,0,340000000,1,0,270,0,8
BARAMATI,,,MAHARASHTRA,GEN,6.5,0,0,0,0,0,0,176290000000,1,1,779,49,18
BARAMULLA,,,JAMMU AND KASHMIR,GEN,6.3,0,0,0,0,1,0,0,0,1,0,0,12
BARASAT,,,WEST BENGAL,GEN,13.6,0,0,1,0,0,0,240000000,1,0,38,0,18
BARDHAMAN PURBA,,,WEST BENGAL,SC,8.7,0,0,1,0,0,0,0,1,0,24,0,17
BARDHAMAN-DURGAPUR,bardhaman,6,WEST BENGAL,GEN,8.1,0,0,1,0,0,0,0,1,0,34,0,17
BARDOLI,,,GUJARAT,ST,10.3,0,1,1,0,0,0,22600000000,1,0,340,6,18
BAREILLY,bareilly,47,UTTAR PRADESH,GEN,23.6,1,1,0,0,0,0,250000000,1,0,16,0,11
BARGARH,,,ODISHA,GEN,1,0,0,1,0,0,0,1550000000,1,0,3,0,12
BARMER,barmer,16,RAJASTHAN,GEN,7.2,0,1,1,0,1,0,12360000000,0,0,43,0,9
BARPETA,barpeta,189,ASSAM,GEN,3.5,0,0,0,0,1,0,190000000,0,1,11,0,12
BARRACKPUR,,,WEST BENGAL,GEN,19.7,0,0,1,0,0,0,240000000,1,0,38,0,18
BASIRHAT,,,WEST BENGAL,GEN,8.6,0,0,1,0,0,0,240000000,1,0,38,0,18
BASTAR,,,CHHATTISGARH,ST,16.2,0,1,1,0,1,0,360000000,0,0,0,0,10
BASTI,basti,11,UTTAR PRADESH,GEN,3.2,0,1,0,0,0,0,0,1,0,1,0,10
BATHINDA,bathinda,1,PUNJAB,GEN,1.6,1,1,1,0,0,0,2600000000,1,0,9,0,14
BEED,beed,1,MAHARASHTRA,GEN,11.1,0,1,1,0,0,0,0,1,0,5,0,13
BEGUSARAI,begusarai,5,BIHAR,GEN,5.4,0,1,1,0,1,0,100000000,0,0,2,0,8
BELGAUM,belgaum,1,KARNATAKA,GEN,7,0,1,0,0,0,0,380000000,1,0,33,1,15
BELLARY,bellary,36,KARNATAKA,ST,8.1,0,1,0,0,0,0,2010000000,1,0,20,2,14
BERHAMPUR,,,ODISHA,GEN,14.1,0,0,1,0,1,0,600000000,0,0,7,0,8
BETUL,betul,1,MADHYA PRADESH,ST,31.4,0,1,1,0,1,0,4090000000,0,0,1,0,11
BHADOHI,,,UTTAR PRADESH,GEN,16.1,0,1,0,0,0,0,630000000,1,0,0,0,12
BHADRAK,,,ODISHA,SC,16.6,0,0,1,0,0,0,1020000000,1,0,6,1,11
BHAGALPUR,bhagalpur,1,BIHAR,GEN,1,0,0,0,0,0,0,0,1,1,10,0,8
BHANDARA-GONDIYA,bhandara,10,MAHARASHTRA,GEN,12.5,0,1,1,0,0,0,530000000,1,0,11,1,13
BHARATPUR,bharatpur,2,RAJASTHAN,SC,25.5,0,1,1,0,0,0,9680000000,1,0,110,5,13
BHARUCH,bharuch,1,GUJARAT,GEN,14.5,1,1,1,0,1,0,19830000000,0,0,860,18,15
BHAVNAGAR,bhavnagar,1,GUJARAT,GEN,32.2,0,1,1,0,0,0,2070000000,1,0,29,1,17
BHILWARA,bhilwara,4,RAJASTHAN,GEN,22.3,0,1,1,0,0,0,8120000000,1,0,8,2,11
BHIND,bhind,8,MADHYA PRADESH,SC,21.9,0,1,1,0,0,0,9810000000,1,0,12,0,11
BHIWANDI,bhiwandi,7,MAHARASHTRA,GEN,12.5,0,1,1,0,0,0,18690000000,1,0,335,14,17
BHIWANI-MAHENDRAGARH,bhiwani,1,HARYANA,GEN,12.6,0,1,1,0,0,0,1600000000,1,0,3,1,16
BHONGIR,,,TELANGANA,GEN,2.5,0,0,1,0,0,0,5600000000,1,0,155,8,15
BHOPAL,bhopal,3,MADHYA PRADESH,GEN,32.8,0,1,1,1,0,0,8820000000,1,0,96,5,14
BHUBANESWAR,bhubaneswar,32,ODISHA,GEN,21.2,0,0,1,0,0,0,850000000,1,0,36,0,16
BIDAR,bidar,4,KARNATAKA,GEN,9.6,0,1,0,0,1,0,1550000000,0,0,15,1,14
BIJAPUR,,,KARNATAKA,SC,7.2,0,1,0,0,0,0,1650000000,1,0,0,0,13
BIJNOR,bijnor,2,UTTAR PRADESH,GEN,19.4,0,1,0,0,0,0,690000000,1,0,32,0,14
BIKANER,bikaner,7,RAJASTHAN,SC,33.1,0,1,1,0,0,0,1220000000,1,0,27,0,16
BILASPUR,bilaspur,9,CHHATTISGARH,GEN,16.2,0,1,1,0,0,0,11290000000,1,0,30,1,17
BIRBHUM,,,WEST BENGAL,GEN,5.3,0,0,1,0,1,0,110000000,0,0,0,0,11
BISHNUPUR,,,WEST BENGAL,SC,11.8,0,0,1,0,0,0,310000000,1,0,36,0,13
BOLANGIR,,,ODISHA,GEN,8.9,0,0,1,0,1,0,0,0,0,1,0,8
BOLPUR,,,WEST BENGAL,SC,18.1,0,0,1,0,1,0,110000000,0,0,24,0,14
BULANDSHAHR,bulandshahar,1,UTTAR PRADESH,SC,41.8,0,1,0,0,0,0,910000000,1,0,29,0,13
BULDHANA,buldhana,29,MAHARASHTRA,GEN,16.3,0,1,1,0,0,0,400000000,1,0,2,0,12
BUXAR,buxar,2,BIHAR,GEN,14.9,0,1,1,0,0,0,0,1,0,4,1,9
CHALAKUDY,,,KERALA,GEN,1.6,0,0,0,0,0,0,25450000000,1,1,29,9,16
CHAMARAJANAGAR,,,KARNATAKA,SC,12.5,0,0,1,0,0,0,810000000,1,0,86,0,15
CHANDAULI,,,UTTAR PRADESH,GEN,16,0,1,0,0,1,0,4350000000,0,0,11,2,13
CHANDIGARH,chandigarh,1,CHANDIGARH,GEN,15.4,0,1,0,0,0,0,510000000,1,0,83,2,18
CHANDNI CHOWK,,,DELHI,GEN,13.9,1,1,0,0,0,0,3260000000,1,0,82,5,18
CHANDRAPUR,chandrapur,1,MAHARASHTRA,GEN,21.3,1,1,1,0,0,1,1690000000,1,0,18,2,13
CHATRA,chatra,2,JHARKHAND,GEN,25,0,1,1,0,1,0,0,0,0,5,0,7
CHENNAI CENTRAL,chennai,1,TAMIL NADU,GEN,5.6,0,0,1,0,0,0,116960000000,1,0,232,58,18
CHENNAI NORTH,chennai,1,TAMIL NADU,GEN,11,0,0,1,0,0,0,117020000000,1,0,366,59,18
CHENNAI SOUTH,chennai,1,TAMIL NADU,GEN,12.6,0,0,1,0,0,0,117700000000,1,0,362,58,18
CHEVELLA,,,TELANGANA,GEN,5.5,0,0,1,0,0,0,3740000000,1,0,114,1,17
CHHINDWARA,chhindwara,1,MADHYA PRADESH,GEN,10.5,0,0,0,1,0,0,160000000,1,1,12,0,11
CHHOTA UDAIPUR,,,GUJARAT,ST,16.3,0,1,1,0,1,0,9280000000,0,0,411,10,15
CHIDAMBARAM,,,TAMIL NADU,SC,11.8,0,0,1,0,0,0,11820000000,1,0,21,1,14
CHIKKBALLAPUR,"chikkaballapur, chikballapur",29,KARNATAKA,GEN,0.8,0,0,1,0,0,0,47750000000,1,0,142,9,16
CHIKKODI,,,KARNATAKA,GEN,0.3,0,0,1,0,0,0,380000000,1,0,33,1,15
CHITRADURGA,chitradurga,2,KARNATAKA,SC,9.2,0,0,1,0,0,0,2110000000,1,0,50,4,14
CHITTOOR,,,ANDHRA PRADESH,SC,3.7,0,1,1,0,0,0,7470000000,1,0,46,4,14
CHITTORGARH,chittaurgarh,42,RAJASTHAN,GEN,27,0,1,1,0,0,0,8470000000,1,0,41,1,11
CHURU,,,RAJASTHAN,GEN,26.1,0,1,1,0,0,0,200000000,1,0,1,0,15
COIMBATORE,coimbatore,1,TAMIL NADU,GEN,3.6,0,0,1,0,0,0,16560000000,1,0,135,13,18
COOCHBEHAR,,,WEST BENGAL,SC,6.5,0,0,1,0,0,0,0,1,0,0,0,10
CUDDALORE,cuddalore,2,TAMIL NADU,GEN,20.6,0,0,1,0,0,0,11790000000,1,0,10,1,15
CUTTACK,cuttack,10,ODISHA,GEN,31.3,0,0,1,0,0,0,3400000000,1,0,5,0,12
DADRA & NAGAR HAVELI,"dadra, dadra and nagar haveli",9,DADRA AND NAGAR HAVELI,GEN,3.8,0,1,0,0,0,0,0,1,0,449,0,17
DAHOD,,,GUJARAT,ST,25.6,0,1,1,0,0,0,30000000,1,0,39,1,10
DAKSHINA KANNADA,dakshina kannada,6,KARNATAKA,GEN,11.9,0,1,0,0,0,0,340000000,1,0,4,0,16
DAMAN & DIU,daman,4,DAMAN AND DIU,GEN,10.6,0,1,0,0,0,0,0,1,0,112,0,18
DAMOH,,,MADHYA PRADESH,GEN,23.4,0,1,1,0,1,0,750000000,0,0,1,0,11
DARBHANGA,,,BIHAR,GEN,4.2,0,1,1,0,0,0,0,1,0,0,0,8
DARJEELING,darjeeling,4,WEST BENGAL,GEN,17.3,0,1,0,0,0,0,1440000000,1,0,26,0,13
DAUSA,,,RAJASTHAN,ST,4.9,0,1,1,0,0,0,23580000000,1,0,251,18,14
DAVANAGERE,davanagere,3,KARNATAKA,GEN,1.6,1,1,0,0,0,0,0,1,0,2,0,14
DEORIA,,,UTTAR PRADESH,GEN,27.3,1,1,0,0,0,0,0,1,0,3,0,10
DEWAS,dewas,1,MADHYA PRADESH,SC,22.8,0,1,1,0,0,0,7480000000,1,0,90,4,12
DHANBAD,dhanbad,15,JHARKHAND,GEN,25.6,0,1,1,0,1,0,2280000000,0,0,35,0,13
DHAR,dhar,24,MADHYA PRADESH,ST,9.7,0,1,1,0,0,0,3940000000,1,0,72,6,14
DHARMAPURI,dharmapuri,22,TAMIL NADU,GEN,7,0,1,0,0,0,0,2130000000,1,0,35,1,17
DHARWAD,dharwad,3,KARNATAKA,GEN,10.9,0,1,0,0,0,0,540000000,1,0,25,2,16
DHAURAHRA,,,UTTAR PRADESH,GEN,11.9,0,1,0,0,0,0,630000000,1,0,12,0,7
DHENKANAL,dhenkanal,23,ODISHA,GEN,13.2,0,0,1,0,1,0,26500000000,0,0,296,1,9
DHUBRI,,,ASSAM,GEN,16.8,0,0,0,0,1,0,0,0,1,1,0,9
DHULE,dhule,1,MAHARASHTRA,GEN,13.3,0,1,1,0,0,0,12500000000,1,0,220,8,15
DIAMOND HARBOUR,,,WEST BENGAL,GEN,5.7,0,0,1,0,0,0,1090000000,1,0,16,1,15
DIBRUGARH,dibrugarh,14,ASSAM,GEN,20.8,0,1,0,0,0,0,4800000000,1,0,11,3,13
DINDIGUL,dindigul,1,TAMIL NADU,GEN,11.8,0,0,1,0,0,0,1390000000,1,0,13,1,14
DINDORI,,,MAHARASHTRA,ST,25.5,0,1,1,0,0,0,11470000000,1,0,205,8,18
DOMARIYAGANJ,,,UTTAR PRADESH,GEN,11.1,0,1,0,0,1,0,0,0,0,0,0,9
DUM DUM,,,WEST BENGAL,GEN,13.7,0,0,1,0,0,0,240000000,1,0,38,0,18
DUMKA,,,JHARKHAND,ST,4.3,0,0,0,0,1,0,0,0,1,2,0,8
DURG,durg,5,CHHATTISGARH,GEN,1.3,0,0,0,0,0,0,5740000000,1,1,26,1,14
EAST DELHI,east delhi,1,DELHI,GEN,15.9,0,1,0,0,0,0,16090000000,1,0,5,1,18
ELURU,,,ANDHRA PRADESH,GEN,8.5,0,1,1,1,0,0,11030000000,1,0,48,2,16
ERNAKULAM,ernakulam,5,KERALA,GEN,10.2,0,0,1,0,0,0,19990000000,1,0,24,7,16
ERODE,erode,23,TAMIL NADU,GEN,21,0,0,1,0,0,0,900000000,1,0,58,2,18
ETAH,etah,20,UTTAR PRADESH,GEN,21.7,0,1,0,0,0,0,0,1,0,1,0,11
ETAWAH,,,UTTAR PRADESH,SC,18.4,0,1,0,0,0,0,3180000000,1,0,8,1,10
FAIZABAD,,,UTTAR PRADESH,GEN,27.6,0,1,0,0,0,0,410000000,1,0,270,0,9
FARIDABAD,faridabad,6,HARYANA,GEN,41.3,1,1,1,0,0,0,5650000000,1,0,254,10,18
FARIDKOT,,,PUNJAB,SC,16.7,0,0,0,0,1,0,660000000,0,1,22,0,16
FARRUKHABAD,,,UTTAR PRADESH,GEN,15.5,0,1,0,0,0,0,0,1,0,1,0,11
FATEHGARH SAHIB,,,PUNJAB,SC,5.3,0,0,0,0,0,0,7470000000,1,1,66,9,17
FATEHPUR,fatehpur,191,UTTAR PRADESH,GEN,17.7,1,1,0,0,1,0,0,0,0,3,0,8
FATEHPUR SIKRI,,,UTTAR PRADESH,GEN,17.9,0,1,0,0,0,0,1090000000,1,0,16,3,14
FIROZABAD,,,UTTAR PRADESH,GEN,10.3,0,0,1,0,0,0,10000000,1,0,0,0,11
FIROZPUR,"ferozepur, FIROZPUR",6,PUNJAB,GEN,2.8,0,1,1,0,1,0,450000000,0,0,20,0,14
GADCHIROLI-CHIMUR,gadchiroli,5,MAHARASHTRA,ST,23.1,0,1,1,0,1,0,2070000000,0,0,23,3,13
GANDHINAGAR,"gandhinagar, ghandhinagar",4,GUJARAT,GEN,42.5,0,1,1,0,0,0,90030000000,1,0,444,36,18
GANGANAGAR,,,RAJASTHAN,SC,23.2,1,1,1,0,0,0,20000000,1,0,25,0,17
GARHWAL,,,UTTARAKHAND,GEN,27.1,0,1,0,0,0,0,31330000000,1,0,27,0,16
GAUHATI,,,ASSAM,GEN,20.9,0,1,0,0,1,0,2400000000,0,0,109,0,16
GAUTAM BUDHHA NAGAR,gautam buddh nagar,4,UTTAR PRADESH,GEN,23.4,1,1,0,0,0,1,2660000000,1,0,222,0,15
GAYA,gaya,195,BIHAR,SC,14.3,0,1,1,0,1,0,710000000,0,0,3,0,8
GHATAL,,,WEST BENGAL,GEN,19.1,0,0,1,0,0,0,0,1,0,29,0,14
GHAZIABAD,ghaziabad,1,UTTAR PRADESH,GEN,42.3,1,1,0,0,0,1,840000000,1,0,133,3,17
GHAZIPUR,,,UTTAR PRADESH,GEN,3.3,1,1,0,0,0,1,70000000,1,0,0,0,10
GHOSI,,,UTTAR PRADESH,GEN,14,0,1,0,0,0,0,650000000,1,0,1,0,13
GIRIDIH,,,JHARKHAND,GEN,4.2,0,1,1,0,1,0,2280000000,0,0,35,0,11
GODDA,godda,1,JHARKHAND,GEN,5.8,0,1,1,0,1,0,0,0,0,4,0,8
GONDA,gonda,3,UTTAR PRADESH,GEN,18.4,0,1,0,0,1,0,180000000,0,0,6,0,8
GOPALGANJ,,,BIHAR,SC,31.8,0,1,1,0,0,0,0,1,0,0,0,10
GORAKHPUR,gorakhpur,2,UTTAR PRADESH,GEN,30.1,0,1,0,0,0,0,700000000,1,0,4,0,12
GULBARGA,gulbarga,1,KARNATAKA,SC,7.5,0,0,1,0,1,0,1550000000,0,0,23,0,14
GUNA,guna,2,MADHYA PRADESH,GEN,12.4,0,0,0,0,1,0,0,0,1,2,0,10
GUNTUR,guntur,2,ANDHRA PRADESH,GEN,5.6,0,1,0,0,0,0,5850000000,1,0,22,3,16
GURDASPUR,gurdaspur,21,PUNJAB,GEN,13,0,1,1,0,0,0,120000000,1,0,23,0,17
GURGAON,gurgaon,123,HARYANA,GEN,20.8,1,1,1,0,1,1,55580000000,0,0,219,26,18
GWALIOR,gwalior,1,MADHYA PRADESH,GEN,3,1,1,1,0,0,0,100000000,1,0,2,0,13
HAJIPUR,,,BIHAR,SC,24.9,1,0,0,0,0,0,0,1,1,6,0,9
HAMIRPUR,hamirpur,1,HIMACHAL PRADESH,GEN,11.8,0,1,0,1,0,1,680000000,1,0,287,1,14
HAMIRPUR,,,UTTAR PRADESH,GEN,27.4,0,1,0,0,0,0,100000000,1,0,287,1,9
HARDOI,,,UTTAR PRADESH,SC,8.4,0,1,0,0,0,0,60000000,1,0,0,0,8
HARDWAR,haridwar,4,UTTARAKHAND,GEN,15.1,0,1,0,0,1,0,8730000000,0,0,336,6,17
HASSAN,hassan,1,KARNATAKA,GEN,8.8,0,0,0,0,0,0,300000000,1,1,22,1,15
HATHRAS,,,UTTAR PRADESH,SC,31.1,0,1,0,0,0,0,800000000,1,0,8,0,12
HATKANANGLE,,,MAHARASHTRA,GEN,15,0,1,0,0,0,0,3220000000,1,0,64,1,17
HAVERI,haveri,17,KARNATAKA,GEN,7.8,0,1,0,0,1,0,0,0,0,7,1,14
HAZARIBAGH,hazaribagh,2,JHARKHAND,GEN,16.5,1,1,1,0,1,1,800000000,0,0,12,0,11
HINDUPUR,,,ANDHRA PRADESH,GEN,8.3,0,1,1,0,0,0,19390000000,1,0,46,0,14
HINGOLI,,,MAHARASHTRA,GEN,0.2,0,0,0,0,1,0,1040000000,0,1,8,0,13
HISAR,hisar,1,HARYANA,GEN,2.8,0,0,0,0,0,0,2670000000,1,1,9,1,15
HOOGHLY,hooghly,6,WEST BENGAL,GEN,14,0,0,1,0,0,0,760000000,1,0,28,0,18
HOSHANGABAD,hoshangabad,30,MADHYA PRADESH,GEN,37.8,0,1,1,0,0,0,1690000000,1,0,48,1,12
HOSHIARPUR,hoshiarpur,1,PUNJAB,SC,1.4,1,1,1,0,0,1,950000000,1,0,38,0,18
HOWRAH,howrah,17,WEST BENGAL,GEN,17.5,0,0,1,0,0,0,570000000,1,0,79,3,18
HYDERABAD,hyderabad,1,TELANGANA,GEN,20.8,0,0,0,0,0,0,30460000000,1,1,159,26,18
IDUKKI,idukki,161,KERALA,GEN,6.2,0,0,0,0,0,0,20040000000,1,1,24,7,16
INDORE,indore,2,MADHYA PRADESH,GEN,35.5,0,1,1,0,0,0,3800000000,1,0,50,6,18
INNER MANIPUR,irungattukottai,50,MANIPUR,GEN,14.8,0,0,1,0,1,0,960000000,0,0,0,0,14
JABALPUR,jabalpur,1,MADHYA PRADESH,GEN,20.8,0,1,1,0,0,0,530000000,1,0,7,1,18
JADAVPUR,jagatsinghpur,7,WEST BENGAL,GEN,9.8,0,0,1,0,0,0,1090000000,1,0,16,1,15
JAGATSINGHPUR,jaipur,2,ODISHA,SC,24.4,0,0,1,0,0,0,3090000000,1,0,6,0,14
JAHANABAD,jaisalmer,142,BIHAR,GEN,5.2,0,1,0,0,1,0,870000000,0,0,3,0,11
JAIPUR,jajapur,38,RAJASTHAN,GEN,41.6,0,1,1,0,0,0,14420000000,1,0,142,13,18
JAIPUR RURAL,jajpur,1,RAJASTHAN,GEN,32.8,1,1,1,0,0,1,23580000000,1,0,251,18,15
JAJPUR,jalandhar,32,ODISHA,SC,32.7,0,0,1,0,0,0,0,1,0,32,1,12
JALANDHAR,jalgaon,24,PUNJAB,SC,6.8,0,0,0,0,0,0,670000000,1,1,24,0,18
JALAUN,jalore,33,UTTAR PRADESH,SC,25.9,0,1,0,0,0,0,620000000,1,0,3,0,11
JALGAON,jalpaiguri,2,MAHARASHTRA,GEN,38.7,0,1,1,0,1,0,1030000000,0,0,50,0,14
JALNA,jammu,25,MAHARASHTRA,GEN,19.4,0,1,1,0,0,0,50720000000,1,0,246,10,14
JALORE,jamnagar,22,RAJASTHAN,GEN,35.1,0,1,1,0,1,0,3450000000,0,0,6,0,11
JALPAIGURI,jamshedpur,75,WEST BENGAL,SC,5.3,0,0,1,0,0,0,800000000,1,0,25,0,10
JAMMU,ambernath,40,JAMMU AND KASHMIR,GEN,20.5,0,1,0,0,0,0,2970000000,1,0,33,1,14
JAMNAGAR,janjgir-champa,1,GUJARAT,GEN,20.6,0,1,1,0,0,0,1550000000,1,0,69,0,17
JAMSHEDPUR,jaunpur,2,JHARKHAND,GEN,9.5,0,1,1,0,1,0,0,0,0,33,,17
JAMUI,jejuri,8,BIHAR,SC,11.1,0,1,0,0,1,0,50000000,0,0,1,0,10
JANGIPUR,jhajjar,1,WEST BENGAL,GEN,0.7,0,0,0,0,1,0,470000000,0,1,1,0,10
JANJGIR-CHAMPA,jhalawar,16,CHHATTISGARH,SC,16.3,0,1,1,0,0,0,10860000000,1,0,39,0,11
JAUNPUR,jhansi,1,UTTAR PRADESH,GEN,14.5,0,1,0,0,0,0,150000000,1,0,8,0,11
JAYNAGAR,jharsuguda,2,WEST BENGAL,SC,9.1,0,0,1,0,0,0,1090000000,1,0,16,1,15
