Dhemaji,"[""Dhemaji""]",1000000
Dhenkanal,"[""Dhenkanal""]",35600000
Dhubri,"[""Dhubri""]",37100000
Dhule,"[""Dhule""]",52700000
Dibang Valley,"[""Dibang Valley""]",1300000
Dibrugarh,"[""Dibrugarh""]",61000000
Dimapur,"[""Dimapur""]",5000000
Dindigul,"[""Dindigul""]",53900000
Dindori,"[""Dindori""]",7900000
Doda,"[""Doda""]",0
Dumka,"[""Dumka""]",3700000
Dungarpur,"[""Dungarpur""]",21700000
Durg,"[""Durg""]",123900000
East Delhi,"[""East Delhi""]",1231800000
East Godavari,"[""East Godavari""]",71500000
East Kameng,"[""East Kameng""]",1100000
East Khasi Hills,"[""East Khasi Hills""]",44700000
East Sikkim,"[""East Sikkim""]",4500000
Ernakulam,"[""Ernakulam""]",551900000
Erode,"[""Erode""]",26300000
Etah,"[""Etah""]",1800000
Faizabad,"[""Faizabad""]",700000
Faridabad,"[""Faridabad""]",165300000
Ferozepur,"[""Ferozepur"",""Firozpur""]",23100000
Firozabad,"[""Firozabad""]",100000
Gadag,"[""Gadag""]",28400000
Gadchiroli,"[""Gadchiroli""]",33500000
Gandhinagar,"[""Gandhinagar""]",79800000
Ganjam,"[""Ganjam""]",7500000
Gautam Buddh Nagar,"[""Gautam Buddha Nagar"",""Gautam Buddh Nagar""]",1061200000
Gaya,"[""Gaya""]",19100000
Ghaziabad,"[""Ghaziabad""]",95900000
Ghazipur,"[""Ghazipur""]",125700000
Giridih,"[""Giridih""]",11500000
Goalpara,"[""Goalpara""]",3700000
Godda,"[""Godda""]",300000
Golaghat,"[""Golaghat""]",197100000
Gonda,"[""Gonda""]",1300000
Gondia,"[""Gondia""]",95300000
Gorakhpur,"[""Gorakhpur""]",13500000
Gulbarga,"[""Kalaburagi"",""Gulbarga""]",17000000
Gumla,"[""Gumla""]",200000
Guna,"[""Guna""]",100000
Guntur,"[""Guntur""]",125000000
Gurgaon,"[""Gurgaon"",""Gurugram""]",1166800000
Gwalior,"[""Gwalior""]",16400000
Hailakandi,"[""Hailakandi""]",0
Hamirpur,"[""Hamirpur""]",5800000
Hanumangarh,"[""Hanumangarh""]",200000
Hapur,"[""Hapur"",""Panchsheel Nagar""]",5900000
Hardoi,"[""Hardoi""]",800000
Haridwar,"[""Haridwar""]",375900000
Hassan,"[""Hassan""]",14300000
Haveri,"[""Haveri""]",7800000
Hazaribagh,"[""Hazaribag"",""Hazaribagh""]",21200000
Hisar,"[""Hisar""]",490500000
Hooghly,"[""Hooghly""]",13500000
Hoshangabad,"[""Hoshangabad""]",21800000
Hoshiarpur,"[""Hoshiarpur""]",64800000
Howrah,"[""Howrah""]",30200000
Hyderabad,"[""Hyderabad""]",1033200000
Idukki,"[""Idukki""]",9400000
Imphal East,"[""Imphal East""]",2600000
Indore,"[""Indore""]",135200000
Jabalpur,"[""Jabalpur""]",61200000
Jaipur,"[""Jaipur""]",475400000
Jaisalmer,"[""Jaisalmer""]",55100000
Jajpur,"[""Jajpur""]",19200000
Jalandhar,"[""Jalandhar""]",4800000
Jalgaon,"[""Jalgaon""]",100200000
Jalna,"[""Jalna""]",532900000
Jalore,"[""Jalore""]",15100000
Jalpaiguri,"[""Jalpaiguri""]",18900000
Jammu,"[""Jammu""]",33500000
Jamnagar,"[""Jamnagar""]",62100000
Jamui,"[""Jamui""]",0
Jashpur,"[""Jashpur""]",6400000
Jaunpur,"[""Jaunpur""]",6600000
Jehanabad,"[""Jehanabad""]",4800000
Jhabua,"[""Jhabua""]",39900000
Jhajjar,"[""Jhajjar""]",147100000
Jhalawar,"[""Jhalawar""]",83100000
Jhansi,"[""Jhansi""]",32900000
Jharsuguda,"[""Jharsuguda""]",112700000
Jhunjhunu,"[""Jhunjhunu""]",72700000
Jind,"[""Jind""]",1400000
Jodhpur,"[""Jodhpur""]",344300000
Jorhat,"[""Jorhat""]",10700000
Junagadh,"[""Junagadh""]",6800000
Kachchh,"[""Kachchh"",""Kutch""]",149200000
Kadapa,"[""YSR District Kadapa"",""Kadapa"",""Cuddapah""]",14200000
Kaithal,"[""Kaithal""]",400000
Kalahandi,"[""Kalahandi""]",116700000
Kamrup,"[""Kamrup""]",58900000
Kanchipuram,"[""Kanchipuram""]",21800000
Kandhamal,"[""Kandhamal""]",4000000
Kangra,"[""Kangra""]",800000
Kanker,"[""Kanker"",""North Bastar""]",34300000
Kannur,"[""Kannur""]",3700000
