census_code,id,dist_name,id(ours),dist_name(ors),ASSET_2019,BF_2019,CHH_2019,FC_2019,MSL_2019,MSW_2019,Aggregate_2019,ADI_Level,seperated from
99,801,Sri Ganganagar,99,Sri Ganganagar,3,3,3,3,3,3,18,3,
100,802,Hanumangarh,100,Hanumangarh ,3,2,3,2,3,3,16,3,
101,803,Bikaner,101,Bikaner,3,3,2,1,2,3,14,2,
102,804,Churu,102,Churu ,3,3,2,1,3,3,15,3,
103,805,Jhunjhunu,103,Jhunjhunun,3,3,3,1,3,3,16,3,
104,806,Alwar,104,Alwar,3,1,2,2,3,2,13,2,
105,807,Bharatpur,105,Bharatpur ,3,1,3,2,2,2,13,2,
106,808,Dhaulpur,106,Dhaulpur,3,1,2,2,3,2,13,2,
107,809,Karauli,107,Karauli ,2,1,1,2,3,2,11,2,
108,810,Sawai Madhopur,108,Sawai Madhopur ,3,1,2,2,3,2,13,2,
109,811,Dausa,109,Dausa ,3,1,2,1,3,2,12,2,
110,812,Jaipur,110,Jaipur ,3,3,3,3,3,3,18,3,
111,813,Sikar,111,Sikar,3,3,3,1,3,3,16,3,
112,814,Nagaur,112,Nagaur,3,1,2,1,3,1,11,2,
113,815,Jodhpur,113,Jodhpur,2,1,2,1,3,1,10,1,
114,816,Jaisalmer,114,Jaisalmer,2,1,1,1,2,2,9,1,
115,817,Barmer,115,Barmer ,3,1,1,1,2,1,9,1,
116,818,Jalore,116,Jalor,3,1,1,1,3,1,10,1,
117,819,Sirohi,117,Sirohi,2,1,3,1,3,3,13,2,
118,820,Pali,118,Pali ,3,1,3,1,3,1,12,2,
119,821,Ajmer,119,Ajmer,3,3,3,1,3,3,16,3,
120,822,Tonk,120,Tonk ,3,1,2,1,3,2,12,2,
121,823,Bundi,121,Bundi ,2,1,2,1,3,2,11,2,
122,824,Bhilwara,122,Bhilwara,2,1,2,1,3,2,11,2,
123,825,Rajsamand,123,Rajsamand,3,1,2,1,3,3,13,2,
124,826,Dungarpur,124,Dungarpur ,1,1,1,1,2,2,8,1,
125,827,Banswara,125,Banswara ,1,1,1,1,1,2,7,1,
126,828,Chittaurgarh,126,Chittaurgarh ,3,1,2,1,3,2,12,2,Pratapgarh 
127,829,Kota,127,Kota ,3,3,3,3,3,3,18,3,
128,830,Baran,128,Baran ,3,1,2,1,2,2,11,2,
129,831,Jhalawar,129,Jhalawar,2,1,1,1,3,2,10,1,
130,832,Udaipur,130,Udaipur,2,1,2,1,2,2,10,1,
132,901,Saharanpur,132,Saharanpur,3,2,2,2,3,2,14,2,
133,902,Muzaffarnagar,133,Muzaffarnagar,3,2,2,2,3,2,14,2,
134,903,Bijnor,134,Bijnor,2,2,2,1,2,2,11,2,
135,904,Moradabad,135,Moradabad,3,1,1,2,2,2,11,2,
136,905,Rampur,136,Rampur,3,1,1,2,1,2,10,1,
137,906,Amroha,137,amroha/jyotibha phule nagar,3,1,1,2,2,2,11,2,
138,907,Meerut,138,Meerut,3,3,3,3,3,2,17,3,
139,908,Bagpat,139,Baghpat,3,2,3,2,3,2,15,3,
140,909,Ghaziabad,140,Ghaziabad,3,3,3,3,3,2,17,3,
141,910,Gautam Buddh Nagar,141,Gautam Buddha Nagar,3,3,3,3,3,3,18,3,
142,911,Bulandshahar,142,Bulandshahr ,3,3,1,2,2,2,13,2,
143,912,Aligarh,143,Aligarh,3,2,2,2,2,2,13,2,
144,913,Hathras,144,Hathras,3,1,1,2,3,2,12,2,
145,914,Mathura,145,Mathura,3,1,2,2,2,2,12,2,
146,915,Agra,146,Agra,3,1,3,2,3,2,14,2,
147,916,Firozabad,147,Firozabad,3,1,1,2,2,2,11,2,
148,917,Mainpuri,148,Mainpuri,3,1,1,2,2,2,11,2,
149,918,Badaun,149,Badaun,1,1,1,2,1,2,8,1,
150,919,Bareilly,150,Bareilly,3,1,1,2,2,2,11,2,
151,920,Pilibhit,151,Pilibhit,3,1,1,1,1,2,9,1,
152,921,Shahjahanpur,152,Shahjahanpur,1,1,1,2,1,2,8,1,
153,,,,,1,1,1,1,2,2,8,1,
154,923,Sitapur,154,Sitapur,1,1,1,1,1,2,7,1,
155,924,Hardoi,155,Hardoi,1,1,1,2,1,2,8,1,
156,925,Unnao,156,Unnao,1,1,1,1,1,2,7,1,
157,926,Lucknow,157,Lucknow,3,3,3,3,2,2,16,3,
158,927,Rae Bareli,158,Rae Bareli,3,1,1,1,1,2,9,1,
159,928,Farrukhabad,159,Farrukhabad,3,1,1,2,2,2,11,2,
160,929,Kannauj,160,Kannauj,2,1,1,2,1,2,9,1,
161,930,Etawah,161,Etawah,3,1,1,1,2,2,10,1,
162,931,Auraiya,162,Auraiya,3,1,1,1,2,2,10,1,
163,932,Kanpur Dehat,163,Kanpur Dehat,2,2,1,2,1,2,10,1,
164,933,Kanpur Nagar,164,Kanpur Nagar,3,3,3,3,3,3,18,3,
165,934,Jalaun,165,Jalaun ,3,1,1,2,1,2,10,1,
166,935,Jhansi,166,Jhansi,3,1,2,2,3,2,13,2,
167,936,Lalitpur,167,Lalitpur,1,1,2,1,1,2,8,1,
168,937,Hamirpur,168,Hamirpur,2,1,2,2,1,2,10,1,
169,938,Mahoba,169,Mahoba,3,1,2,2,1,2,11,2,
170,939,Banda,170,Banda,1,1,2,1,1,2,8,1,
171,940,Chitrakoot,171,Chitrakoot,1,1,2,1,1,2,8,1,
172,941,Fatehpur,172,Fatehpur,2,1,1,1,1,2,8,1,
173,833,Pratapgarh,173,Pratapgarh,3,1,2,1,1,2,10,1,
174,943,Kaushambi,174,Kaushambi,2,1,1,1,1,2,8,1,
175,944,Allahabad,175,Allahabad ,3,1,2,2,2,2,12,2,
176,945,Barabanki,176,Bara Banki,2,1,1,1,1,2,8,1,
177,946,Faizabad,177,Faizabad,3,1,2,1,1,2,10,1,
178,947,Ambedkar Nagar,178,Ambedkar Nagar,3,1,2,2,1,2,11,2,
179,948,Sultanpur,179,Sultanpur,3,1,2,1,1,2,10,1,
180,949,Bahraich,180,Bahraich,1,1,1,1,1,2,7,1,
181,950,Shrawasti,181,Shrawasti,2,1,1,1,1,2,8,1,
182,951,Balrampur,182,Balrampur,1,1,1,1,1,2,7,1,
183,952,Gonda,183,Gonda,3,1,1,1,1,2,9,1,
184,953,Siddharthnagar,184,Siddharthnagar,1,1,2,2,1,2,9,1,
185,954,Basti,185,Basti,3,1,2,1,1,2,10,1,
186,955,Sant Kabir Nagar,186,Sant Kabir Nagar,3,1,2,2,1,2,11,2,
187,956,Maharajganj,187,Mahrajganj,3,1,1,1,1,2,9,1,
188,957,Gorakhpur,188,Gorakhpur,3,1,2,1,3,2,12,2,
189,958,Kushinagar,189,Kushinagar,3,1,1,2,1,2,10,1,
190,959,Deoria,190,Deoria,3,1,2,1,2,2,11,2,
191,960,Azamgarh,191,Azamgarh,3,1,2,2,1,2,11,2,
192,961,Mau,192,Mau,3,1,2,2,3,2,13,2,
193,962,Ballia,193,Ballia,3,2,2,2,2,2,13,2,
194,963,Jaunpur,194,Jaunpur,3,1,2,2,1,2,11,2,
195,964,Ghazipur,195,Ghazipur,3,1,1,2,1,2,10,1,
196,965,Chandauli,196,Chandauli,3,1,2,2,1,2,11,2,
197,966,Varanasi,197,Varanasi,3,2,2,3,2,3,15,3,
198,967,Sant Ravidas Nagar,198,Sant Ravidas Nagar (Bhadohi),3,1,2,2,2,2,12,2,
199,968,Mirzapur,199,Mirzapur,3,1,2,2,1,2,11,2,
200,969,Sonbhadra,200,Sonbhadra,1,1,2,1,2,2,9,1,
201,970,Etah,201,Etah,3,1,1,2,2,2,11,2,Kanshiram Nagar
203,1001,Pashchim Champaran,203,Pashchim Champaran,2,1,1,1,1,2,8,1,
204,1002,Purvi Champaran,204,Purba Champaran,2,1,1,2,1,2,9,1,
