city/ town/ tehsil,district,constituency,No of factories
goalpara,goalpara,dhubri,1
dhule,dhule,dhule,14
malegaon,malegaon,dhule,1
dibrugarh,dibrugarh,dibrugarh,7
tinsukia,tinsukia,dibrugarh,14
dindigul,dindigul,dindigul,16
sempatty,dindigul,dindigul,1
bhilai,durg,durg,4
durg,durg,durg,22
east delhi,east delhi,east delhi,5
south east delhi,south east delhi,east delhi,20
west godavari,west godavari,eluru,23
ernakulam,Ernakulam,Ernakulam,24
kakkanad,Ernakulam,Ernakulam,1
kochi,Ernakulam,Ernakulam,8
erode,erode,erode,20
etah,etah,etah,1
auraiya,auraiya,etawah,10
dudhola,Palwal,faridabad,5
faridabad,faridabad,faridabad,195
gadhpuri,Palwal,faridabad,4
palwal,palwal,faridabad,85
moga,moga,faridkot,13
fatehpur,fatehpur,fatehpur,3
fazilka,fazilka,firozpur,6
"ferozepur, FIROZPUR","ferozepur, FIROZPUR",firozpur,8
sri muktsar sahib,sri muktsar sahib,FIROZPUR,1
gadchiroli,gadchiroli,Gadchiroli-Chimur,5
"gandhinagar, ghandhinagar","gandhinagar, ghandhinagar",gandhinagar,87
kalol,Gandhinagar,gandhinagar,4
kalol ina,Gandhinagar,gandhinagar,1
moti bhoyan,Gandhinagar,gandhinagar,2
por,Gandhinagar,gandhinagar,1
sanand,ahmedabad,gandhinagar,1
sri ganganagar,sri ganganagar,ganganagar,2
chamoli,chamoli,garhwal,14
kotdwar,kotdwar,garhwal,3
rudraprayag,rudraprayag,garhwal,6
gautam buddh nagar,gautam buddh nagar,gautam buddh nagar,195
greater noida,Gautam Budh Nagar,gautam buddh nagar,2
noida,Gautam Budh Nagar,gautam buddh nagar,37
gaya,gaya,gaya,1
ghaziabad,ghaziabad,ghaziabad,133
bhandaridah,bokaro,giridih,2
bokaro,bokaro,giridih,4
deoghar,deoghar,godda,2
godda,godda,godda,2
gonda,gonda,gonda,2
gorakhpur,gorakhpur,gorakhpur,4
gulbarga,gulbarga,gulbarga,14
guna,guna,guna,2
guntur,guntur,guntur,22
gurdaspur,gurdaspur,gurdaspur,3
pathankot,pathankot,gurdaspur,20
bawal,rewari,gurgaon,1
dharuhera,Rewari,gurgaon,3
gurgaon,gurgaon,gurgaon,177
khol,Rewari,gurgaon,1
mewat,nuh,gurgaon,2
rewari,rewari,gurgaon,46
suthana,rewari,gurgaon,2
manesar,gurugram,gurugram,2
guwahati,Kamrup Metropolitan,guwahati,2
kamrup,kamrup,guwahati,85
kamrup metropolitan,kamrup metropolitan,guwahati,23
gwalior,gwalior,gwalior,2
hamirpur,hamirpur,hamirpur,2
padra,padra,hamirpur,1
una,una,hamirpur,4
haridwar,haridwar,haridwar,232
hassan,hassan,hassan,17
talandage,Kolhapur,hatkanangle,2
gadag,gadag,haveri,5
haveri,haveri,haveri,2
hazaribagh,hazaribagh,hazaribagh,4
patratu,ramgarh (JH),hazaribagh,1
ramgarh,ramgarh (JH),hazaribagh,8
bobbili,Vizianagaram,hindupur,1
hisar,hisar,hisar,6
hooghly,hooghly,hooghly,30
