CIN,COMPANY,AMOUNT,DISTRICT
U24239MH1998PLC115413,AGAPPE DIAGNOSTICS LIMITED,4900000,ERNAKULAM
U24239MH1998PTC113551,DOW CHEMICAL INTERNATIONAL PRIVATE LIMITED,1100000,CHENNAI
U24239MH1998PTC113551,DOW CHEMICAL INTERNATIONAL PRIVATE LIMITED,500000,CHENNAI
U24239MH1998PTC113551,DOW CHEMICAL INTERNATIONAL PRIVATE LIMITED,6300000,MUMBAI CITY
U24239MH1998PTC113551,DOW CHEMICAL INTERNATIONAL PRIVATE LIMITED,2700000,RAIGAD
U24239MH1998PTC113551,DOW CHEMICAL INTERNATIONAL PRIVATE LIMITED,1300000,RATNAGIRI
U24239MH1998PTC113551,DOW CHEMICAL INTERNATIONAL PRIVATE LIMITED,2000000,RATNAGIRI
U24239MH1998PTC113551,DOW CHEMICAL INTERNATIONAL PRIVATE LIMITED,14300000,THANE
U24239MH1998PTC113551,DOW CHEMICAL INTERNATIONAL PRIVATE LIMITED,15700000,THANE
U24239TG1992PTC014939,DIVIS PHARMACEUTICALS PVT.LTD.,600000,EAST GODAVARI
U24239TG1992PTC014939,DIVIS PHARMACEUTICALS PVT.LTD.,600000,GUNTUR
U24239TG1998PLC030697,KAKINADA SEAPORTS LIMITED,500000,EAST GODAVARI
U24239TG2005PTC046402,INOGENT LABORATORIES PRIVATE LIMITED,500000,HYDERABAD
U24239TG2005PTC048133,AIZANT DRUG RESEARCH SOLUTIONS PRIVATE LIMITED,100000,HYDERABAD
U24239TG2005PTC048133,AIZANT DRUG RESEARCH SOLUTIONS PRIVATE LIMITED,400000,HYDERABAD
U24240GJ1980PLC003670,NIRMA LIMITED,41800000,AHMEDABAD
U24240GJ1980PLC003670,NIRMA LIMITED,9300000,BHAVNAGAR
U24240GJ1980PLC003670,NIRMA LIMITED,500000,PORBANDAR
U24240GJ1980PLC003670,NIRMA LIMITED,15100000,RAJKOT
U24246GJ2009PTC058957,VINI COSMETICS PRIVATE LIMITED,14500000,AHMEDABAD
U24246TN1990PTC046613,CAVINKARE PRIVATE LIMITED,5200000,CUDDALORE
U24246TN1990PTC046613,CAVINKARE PRIVATE LIMITED,800000,ERODE
U24249GJ1979PTC003607,NIRMA INDUSTRIES PRIVATE LIMITED,900000,AHMEDABAD
U24249GJ1979PTC003607,NIRMA INDUSTRIES PRIVATE LIMITED,1600000,AHMEDABAD
U24249GJ1979PTC003607,NIRMA INDUSTRIES PRIVATE LIMITED,1600000,AHMEDABAD
U24292KA1989PTC023435,SUA EXPLOSIVES ANDACCESSORIES PRIVATE LIMITED,700000,BANGALORE RURAL
U24292KA1989PTC023435,SUA EXPLOSIVES ANDACCESSORIES PRIVATE LIMITED,400000,BANGALORE RURAL
U24292MH1995PLC091808,ECONOMIC EXPLOSIVES LIMITED,11500000,NAGPUR
U24292MH1995PLC091808,ECONOMIC EXPLOSIVES LIMITED,9500000,NAGPUR
U24292MH1995PLC091808,ECONOMIC EXPLOSIVES LIMITED,10000000,NAGPUR
U24292TG1970GOI001353,BHARAT DYNAMICS LIMITED,2700000,BALASORE
U24292TG1970GOI001353,BHARAT DYNAMICS LIMITED,22700000,HYDERABAD
U24292TG1970GOI001353,BHARAT DYNAMICS LIMITED,2000000,HYDERABAD
U24292TG1970GOI001353,BHARAT DYNAMICS LIMITED,8400000,MEDAK
U24292TG1970GOI001353,BHARAT DYNAMICS LIMITED,3700000,NALGONDA
U24294TN1989PLC017705,INDIAN ADDITIVES LIMITED,11200000,CHENNAI
U24294TN1992PTC024115,TAGROS CHEMICALS INDIA PRIVATE LIMITED,3400000,CHENNAI
U24294TN1992PTC024115,TAGROS CHEMICALS INDIA PRIVATE LIMITED,4500000,CUDDALORE
U24294TN1998PLC040695,TECHNIP INDIA LIMITED,600000,AHMEDABAD
U24294TN1998PLC040695,TECHNIP INDIA LIMITED,3300000,CHENNAI
U24294TN1998PLC040695,TECHNIP INDIA LIMITED,6800000,CHENNAI
U24294TN1998PLC040695,TECHNIP INDIA LIMITED,1600000,HARIDWAR
U24294TN1998PLC040695,TECHNIP INDIA LIMITED,100000,KANCHIPURAM
U24294TN1998PLC040695,TECHNIP INDIA LIMITED,500000,KARUR
U24295GJ2009PLC058120,RESINOVA CHEMIE LIMITED,1700000,AHMEDABAD
U24295GJ2009PLC058120,RESINOVA CHEMIE LIMITED,200000,KANPUR NAGAR
U24297MH1991PTC248032,LUBRIZOL ADVANCED MATERIALS INDIA PRIVATE LIMITED,300000,AHMEDABAD
U24297MH1991PTC248032,LUBRIZOL ADVANCED MATERIALS INDIA PRIVATE LIMITED,300000,CHENNAI
U24297MH1991PTC248032,LUBRIZOL ADVANCED MATERIALS INDIA PRIVATE LIMITED,200000,HYDERABAD
U24297MH1991PTC248032,LUBRIZOL ADVANCED MATERIALS INDIA PRIVATE LIMITED,1200000,MUMBAI CITY
U24297MH1991PTC248032,LUBRIZOL ADVANCED MATERIALS INDIA PRIVATE LIMITED,200000,VADODARA
U24297MH1991PTC248032,LUBRIZOL ADVANCED MATERIALS INDIA PRIVATE LIMITED,800000,VALSAD
U24298DL1996PLC083879,HAL OFFSHORE LIMITED,2200000,MATHURA
U24298DL1996PLC083879,HAL OFFSHORE LIMITED,1800000,MATHURA
U24298TN2009PTC072270,ARCHEAN CHEMICAL INDUSTRIES PRIVATE LIMITED,10000000,KUTCH
U24298TN2009PTC072270,ARCHEAN CHEMICAL INDUSTRIES PRIVATE LIMITED,6500000,KUTCH
U24299GJ1987PLC009942,RUBAMIN LIMITED,300000,PALGHAR
U24299GJ1987PLC009942,RUBAMIN LIMITED,1800000,VADODARA
U24299GJ1987PTC010073,MADHU SILICA PRIVATE LIMITED,1400000,BHAVNAGAR
U24299GJ1987PTC010073,MADHU SILICA PRIVATE LIMITED,1400000,BHAVNAGAR
U24299GJ1990PTC013217,HI-SHINE INKS PRIVATE LIMITED,1300000,THANE
U24299GJ1990PTC013217,HI-SHINE INKS PRIVATE LIMITED,1500000,VALSAD
U24299HR1962PLC007739,HINDUSTAN GUM AND CHEMICALS LIMITED,5000000,AHMEDABAD
U24299HR1962PLC007739,HINDUSTAN GUM AND CHEMICALS LIMITED,45000000,CHITTORGARH
U24299HR1998PTC034086,E I DUPONT INDIA PRIVATE LIMITED,8000000,GURUGRAM
U24299HR1998PTC034086,E I DUPONT INDIA PRIVATE LIMITED,600000,GURUGRAM
U24299HR1998PTC034086,E I DUPONT INDIA PRIVATE LIMITED,2100000,HYDERABAD
U24299HR1998PTC034086,E I DUPONT INDIA PRIVATE LIMITED,1000000,HYDERABAD
U24299HR1998PTC034086,E I DUPONT INDIA PRIVATE LIMITED,500000,MUMBAI CITY
U24299KL1969PTC002217,SUD CHEMIE INDIA PRIVATE LIMITED,1500000,NEW DELHI
U24299KL1970PLC002294,SYNTHITE INDUSTRIES LIMITED,4200000,ERNAKULAM
U24311MH1996PLC099800,LUCID COLLOIDS LIMITED,1300000,BARMER
U25100MH1981PLC023895,PODDAR TYRES LIMITED,1000000,AHMEDABAD
U25100MH1981PLC023895,PODDAR TYRES LIMITED,2000000,ARAVALLI
U25100MH1981PLC023895,PODDAR TYRES LIMITED,2100000,ARAVALLI
U25100MH1981PLC023895,PODDAR TYRES LIMITED,300000,JAIPUR
U25100MH1981PLC023895,PODDAR TYRES LIMITED,500000,MYSORE
U25100MH1981PLC023895,PODDAR TYRES LIMITED,500000,NASHIK
U25100MH1981PLC023895,PODDAR TYRES LIMITED,600000,PATIALA
U25100MH1981PLC023895,PODDAR TYRES LIMITED,1700000,SANGLI
U25100MH1981PLC023895,PODDAR TYRES LIMITED,2300000,SANGLI
U25100MH1981PLC023895,PODDAR TYRES LIMITED,2500000,SANGLI
U25100MH1981PLC023895,PODDAR TYRES LIMITED,1000000,SURAT
U25100MH1981PLC023895,PODDAR TYRES LIMITED,1000000,SURAT
U25100MH1981PLC023895,PODDAR TYRES LIMITED,800000,SURAT
U25100MH1981PLC023895,PODDAR TYRES LIMITED,1500000,THANE
U25100MH1981PLC023895,PODDAR TYRES LIMITED,1000000,UJJAIN
U25100MH1981PLC023895,PODDAR TYRES LIMITED,2500000,VALSAD
U25100MH1981PLC023895,PODDAR TYRES LIMITED,1000000,VALSAD
U25111KA1981PLC004112,MYSORE POLYMERS AND RUBBER PRODUCTS LIMITED,3100000,MYSORE
