CIN,COMPNAME,PPNAME,CC
U92132WB1995PLC075754,INDIAN CABLE NET COMPANY LIMITED,Bharatiya Janta Party,1
U67120MH2000PTC123921,PROFITEX SHARES & SECURITIES PRIVATE LIMITED,Bharatiya Janta Party,1
U67120UP2000PLC115063,TOTAL SECURITIES LIMITED,Bharatiya Janta Party,1
U45400WB2006PTC107215,SIDDHA REAL ESTATE DEVELOPMENT PVT LTD,Bharatiya Janta Party,1
U45201DL2003PLC121733,BPTP LIMITED,Bharatiya Janta Party,1
U63040RJ1989PLC049662,INTERGLOBE ENTERPRISES LIMITED,Bharatiya Janta Party,1
L26942GJ1981PLC004717,AMBUJA CEMENTS LIMITED,Bharatiya Janta Party,1
U22212DL1957PTC002866,UNITED INDIA PERIODICAL PVT LTD,Bharatiya Janta Party,1
L18209TG1985PLC005581,SANGHI INDUSTRIES LIMITED,Bharatiya Janta Party,1
U24239AP1978PLC002276,GLAND PHARMA LTD,Bharatiya Janta Party,1
L74210DL1995PLC238364,KNR CONSTRUCTIONS LIMITED,Bharatiya Janta Party,1
U40100TN2011PTC081224,MAYFAIR RENEWABLE ENERGY (I) PRIVATE LIMITED,Bharatiya Janta Party,1
U70102PN1988PTC049303,GERA DEVELOPMENTS PRIVATE LIMITED,Bharatiya Janta Party,1
L28100MH1972PLC015817,PRABHU STEEL INDUSTRIES LIMITED,Bharatiya Janta Party,1
U67120WB1993PTC060525,DALMIA SECURITIES PVT LTD,Bharatiya Janta Party,1
U92490MH2006PLC164863,PAN INDIA NETWORK LIMITED,Bharatiya Janta Party,1
U74899DL1995PLC073976,RKG FINVEST LIMITED,Bharatiya Janta Party,1
U29100GJ2008PLC055438,PUSHPAK TRADEMECH LIMITED.,Bharatiya Janta Party,1
U24110GJ1979PLC003315,STANDARD SALT WORKS LTD,Bharatiya Janta Party,1
U27101RJ1982PLC002442,FIMAKEM INDIA LIMITED,Bharatiya Janta Party,1
U25200GJ1993PTC018826,SHAHLON INDUSTRIES PRIVATE LIMITED,Bharatiya Janta Party,1
L25209WB1997PLC085972,XPRO INDIA LIMITED,Bharatiya Janta Party,1
U51109WB1995PTC072201,GANPATI INDUSTRIAL PVT LTD,Bharatiya Janta Party,1
U01112MP1995PLC010151,VIPRO EXIM LIMITED,Bharatiya Janta Party,1
L74900DL1984PLC018679,PAUL MERCHANTS LIMITED,Bharatiya Janta Party,1
U45201MH2006PTC165646,MICROTEC CONSTRUCTIONS PRIVATE LIMITED,Bharatiya Janta Party,1
U15143AP1983PTC003927,VIJAY AGRO PRODUCTS PVT LTD,Bharatiya Janta Party,1
L74999MH1922PLC000997,GAMMON INDIA LIMITED,Bharatiya Janta Party,1
U45201DL1996PTC080900,BENGAL UNITECH UNIVERSAL INFRASTRUCTURE PRIVATE LIMITED,Bharatiya Janta Party,1
U40300TN2011PTC080241,AAVANTI RENEWABLE ENERGY PRIVATE LIMITED,Bharatiya Janta Party,1
U70101WB1995PTC074250,RAJ DEVELOPERS PVT LTD,Bharatiya Janta Party,1
U72200GJ1994PLC023786,ENVIRO TECHNOLOGY LIMITED,Bharatiya Janta Party,1
U45202PB1993PTC025592,ABOHAR POWER GENERATION PRIVATE LIMITED,Bharatiya Janta Party,1
L67120MH1995PLC086659,JOINDRE CAPITAL SERVICES LIMITED,Bharatiya Janta Party,1
