CIN,COMPNAME,PPNAME,CC
U74140KA2004PTC033168,MANIPAL INTEGRATED SERVICES PRIVATE LIMITED,Bharatiya Janta Party,1
L18119GJ1984PLC006922,JINDAL HOTELS LIMITED,Bharatiya Janta Party,1
U40101PB1999PTC022821,PUNJAB HYDRO POWER PRIVATE LIMITED,Bharatiya Janta Party,1
U26941WB2003PLC096228,PURBANCHAL CEMENT LTD.,Bharatiya Janta Party,1
L40100GJ1981PLC004281,KALPATARU POWER TRANSMISSION LIMITED,Bharatiya Janta Party,1
U45200MH1974PTC017219,JACKS AVIATION PVT LTD,Bharatiya Janta Party,1
U67120MH1994PLC079444,ANTIQUE STOCK BROKING LIMITED,Bharatiya Janta Party,1
L99999MH1982PLC026191,PRADEEP METALS LIMITED,Bharatiya Janta Party,1
U67190MH1997PLC108817,MANGAL KESHAV SECURITIES LIMITED,Bharatiya Janta Party,1
U33120MH1986PTC041857,PARAS ELECTRONICS PVT LTD,Bharatiya Janta Party,1
U72200DL2008PTC172835,LOGIX INFRASTRUCTURE PRIVATE LIMITED,Bharatiya Janta Party,1
U67120MH1996PTC098584,INFINA FINANCE PRIVATE LIMITED,Bharatiya Janta Party,1
U24110MH1993PTC073592,SUNSHINE HOUSING & INFRASTRUCTURE PRIVATE LIMITED,Bharatiya Janta Party,1
U24231GJ1991PLC015132,CADILA PHARMACEUTICALS LIMITED,Bharatiya Janta Party,1
L25202MP1993PLC034616,FLEXITUFF INTERNATIONAL LIMITED,Bharatiya Janta Party,1
U60231TZ1999PTC008876,THRIVENI EARTHMOVERS PRIVATE LIMITED,Bharatiya Janta Party,1
L27104MH1973PLC016350,KALYANI STEELS LIMITED,Bharatiya Janta Party,1
L17110GJ1985PLC033271,WELSPUN INDIA LIMITED,Bharatiya Janta Party,1
U24230MH1994PLC077069,RUSAN PHARMA LIMITED,Bharatiya Janta Party,1
U40300GJ1995PLC025082,MONTECARLO LIMITED,Bharatiya Janta Party,1
U74140MH1986PTC040120,REEMA BUSINESS SERVICES PRIVATE LIMITED,Bharatiya Janta Party,1
U26942ML2001PLC006663,CEMENT MANUFACTURING COMPANY LIMITED,Bharatiya Janta Party,1
U02005WB1949PLC018363,PAHARPUR COOLING TOWERS LTD,Bharatiya Janta Party,1
U24232KA1973PLC002401,MICRO LABS LIMITED,Bharatiya Janta Party,1
L45400GJ1988PLC011322,SADBHAV ENGINEERING LIMITED,Bharatiya Janta Party,1
U29199GJ1998PLC034766,PANOLI ENVIRO TECHNOLOGY LIMITED,Bharatiya Janta Party,1
U51109WB1950PLC018728,ESSEL MINING & INDUSTRIES LTD.,Bharatiya Janta Party,1
U93000MH2007PTC176821,DRISHTI SPECIAL RESPONSE SERVICES PRIVATE LIMITED,Bharatiya Janta Party,1
U15312WB1983PTC036745,ALLIANCE MILLS SOUTH PVT LTD,Bharatiya Janta Party,1
L28120MH1993PLC073160,YASHRAJ CONTAINEURS LIMITED,Bharatiya Janta Party,1
U29199GJ1995NPL027917,NARODA ENVIRO PROJECTS LIMITED,Bharatiya Janta Party,1
L91110GJ1982PLC005169,VADILAL INDUSTRIES LIMITED,Bharatiya Janta Party,1
U45201GJ1989PLC012793,LAXMI INFRA DEVELOPERS LIMITED,Bharatiya Janta Party,1
L29224TN1954PLC000318,CARBORUNDUM UNIVERSAL LIMITED,Bharatiya Janta Party,1
U99999MH1989PTC053566,BRIGHT STAR INVESTMENTS PRIVATE LIMITED,Bharatiya Janta Party,1
L23205GJ1965PLC001343,TRANSPEK INDUSTRY LIMITED,Bharatiya Janta Party,1
U05004MH1991PLC064540,ONAWAY INDUSTRIES LIMITED,Bharatiya Janta Party,1
L33121GJ1994PLC022460,TRANSFORMERS AND RECTIFIERS (INDIA) LIMITED,Bharatiya Janta Party,1
U45203DL2005PLC138749,PRABHATAM INFRASTRUCTURES LIMITED,Bharatiya Janta Party,1
U24239AP1998PLC098093,KAKINADA SEAPORTS LIMITED,Bharatiya Janta Party,1
U63090ML2005PLC008011,STAR CEMENT MEGHALAYA LIMITED,Bharatiya Janta Party,1
U52190DL2001PLC110580,MAGPPIE INTERNATIONAL LIMITED,Bharatiya Janta Party,1
U23109MP2000PTC014351,AGARWAL COAL CORPORATION PRIVATE LIMITED,Bharatiya Janta Party,1
U65923WB2009PTC135169,ALMIGHTY FINANCE & INVESTMENT PRIVATE LIMITED,Bharatiya Janta Party,1
U74899DL1995PLC073245,INTERNATIONAL TRACTORS LIMITED,Bharatiya Janta Party,1
L65990MH1985PLC038164,WEIZMANN LIMITED,Bharatiya Janta Party,1
U29199GJ1998PLC033633,GLOBE ENVIRO CARE LIMITED,Bharatiya Janta Party,1
L24110TG1980PLC002633,PREMIER EXPLOSIVES LIMITED,Bharatiya Janta Party,1
U74140DL1996PTC079711,QNS FACILITY MANAGEMENT PRIVATE LIMITED,Bharatiya Janta Party,1
L51909UP1992PLC051997,GENUS POWER INFRASTRUCTURES LIMITED,Bharatiya Janta Party,1
L15142MH1994PLC076009,MALU PAPER MILLS LIMITED,Bharatiya Janta Party,1
L51909WB1988PLC044765,CHITRAKUT HOLDINGS LTD,Bharatiya Janta Party,1
U00000DL2000PLC104823,MICROMAX INFORMATICS LIMITED,Bharatiya Janta Party,1
L11101MH2006PLC163934,CAIRN INDIA LIMITED,Bharatiya Janta Party,1
U45200MH1982PTC026500,EVERSMILE CONSTRUCTION CO PVT LTD,Bharatiya Janta Party,1
U70109WB1996PTC078304,SUNSHINE FINTRADE PVT LTD,Bharatiya Janta Party,1
U27200MH1994PTC080759,BHALARIA METAL CRAFT PRIVATE LIMITED,Bharatiya Janta Party,1
L15249UP1933PLC000511,DHAMPUR SUGAR MILLS LIMITED,Bharatiya Janta Party,1
L24110GJ1995PLC024052,MEGHMANI ORGANICS LIMITED,Bharatiya Janta Party,1
U61200MH1999PLC119233,INDO ENERGY INTERNATIONAL LIMITED,Bharatiya Janta Party,1
U45200MH1976PLC019335,AFCONS INFRASTRUCTURE LIMITED,Bharatiya Janta Party,1
L24230GJ2010PLC061123,ALEMBIC PHARMACEUTICALS LIMITED,Bharatiya Janta Party,1
U45201TG1997PLC028680,GVPR ENGINEERS LIMITED,Bharatiya Janta Party,1
U74999DL1995PLC072431,UNITECH POWER TRANSMISSION LIMITED,Bharatiya Janta Party,1
U60231WB1948PLC023608,APEEJAY SHIPPING LTD,Bharatiya Janta Party,1
L24230MH1999PLC120720,WOCKHARDT LIMITED,Bharatiya Janta Party,1
U35999DL1987PTC029334,GRAPHISADS PRIVATE LIMITED,Bharatiya Janta Party,1
L17100MH1909PLC000294,SWAN ENERGY LIMITED,Bharatiya Janta Party,1
U74120MH2014NPL258367,NEW DEMOCRATIC ELECTORAL TRUST,Bharatiya Janta Party,1
U24100MH1986PLC038627,CHEMINOVA INDIA LIMITED,Bharatiya Janta Party,1
U45102MH1995PTC084308,AWAITA PROPERTIES PRIVATE LIMITED,Bharatiya Janta Party,1
U99999MH1990PLC058368,MUTUAL INDUSTRIES LIMITED,Bharatiya Janta Party,1
L26941UP1983PLC027278,RADICO KHAITAN LIMITED,Bharatiya Janta Party,1
U65923MH1982PLC026041,VIBHUTI INVESTMENTS COMPANY LIMITED,Bharatiya Janta Party,1
L15201GJ1994PLC023490,ZYDUS WELLNESS LIMITED,Bharatiya Janta Party,1
L35999GJ1982PLC005203,SETCO AUTOMOTIVE LIMITED,Bharatiya Janta Party,1
L15140GJ1991PLC016151,GUJARAT AMBUJA EXPORTS LIMITED,Bharatiya Janta Party,1
U67190MH1982PLC140380,ANAND RATHI GLOBAL FINANCE LIMITED,Bharatiya Janta Party,1
U40105TN2002PTC055046,SAI REGENCY POWER CORPORATION PRIVATE LIMITED,Bharatiya Janta Party,1
L74899DL1990PLC041188,CHD DEVELOPERS LIMITED,Bharatiya Janta Party,1
L24200MH1960PLC011807,EXCEL INDUSTRIES LIMITED,Bharatiya Janta Party,1
U24114MH1949PLC007858,PAREKH MARKETING LTD,Bharatiya Janta Party,1
L35921TN1949PLC002905,TUBE INVESTMENTS OF INDIA LIMITED,Bharatiya Janta Party,1
U26109DL2005PLC143705,GOLD PLUS GLASS INDUSTRY LIMITED,Bharatiya Janta Party,1
U29199GJ1993PLC019013,MEGHMANI INDUSTRIES LTD,Bharatiya Janta Party,1
U24110TG1989PLC009723,HETERO LABS LIMITED,Bharatiya Janta Party,1
U70102MH2004PLC147510,NEPTUNE DEVELOPERS LIMITED,Bharatiya Janta Party,1
L51909TN1985PLC011683,POLYSPIN EXPORTS LIMITED,Bharatiya Janta Party,1
L27104UP1984PLC023979,JINDAL SAW LIMITED,Bharatiya Janta Party,1
L01200GJ1980PLC093159,VITESSE AGRO LIMITED,Bharatiya Janta Party,1
U00000DL1986PTC025024,ROOPA BUILDERS PVT LTD,Bharatiya Janta Party,1
U10100DL1996PLC251093,SPECTRUM COAL AND POWER LIMITED,Bharatiya Janta Party,1
L51900MH1987PLC042111,RELSON INDIA LIMITED,Bharatiya Janta Party,1
U45200MH2007PLC166938,KAKARIA HOUSING & INFRASTRUCTURE LIMITED,Bharatiya Janta Party,1
U15111UP1988PLC009771,RSPL LIMITED,Bharatiya Janta Party,1
U45200MH1982PTC026202,MAN BUILDERS PVT LTD,Bharatiya Janta Party,1
U74899DL2000PLC103860,B R AGROTECH LIMITED,Bharatiya Janta Party,1
U74899DL1992PLC050720,CENTUM FINANCE LIMITED,Bharatiya Janta Party,1
L74999MH1964PLC012878,EXCEL CROP CARE LTD,Bharatiya Janta Party,1
L24119DL1989PLC036264,BHARAT RASAYAN LIMITED,Bharatiya Janta Party,1
L24100GJ1983PLC006513,GHCL LIMITED,Bharatiya Janta Party,1
U74899DL1985PLC020210,BHARAT INSECTICIDES LIMITED,Bharatiya Janta Party,1
L24110GJ1984PLC007301,AARTI INDUSTRIES LTD,Bharatiya Janta Party,1
L74210MH1999PLC122886,J. KUMAR INFRAPROJECTS LIMITED,Bharatiya Janta Party,1
U45400DL1990PLC042200,RAHEJA DEVELOPERS LIMITED,Bharatiya Janta Party,1
U26942ML2003PLC007125,MEGHALAYA CEMENTS LIMITED,Bharatiya Janta Party,1
U65990MH1994PLC079418,MOTILAL OSWAL SECURITIES LIMITED,Bharatiya Janta Party,1
U01220MH1986PTC040835,FRIGORIFICO ALLANA PRIVATE LIMITED,Bharatiya Janta Party,1
U31909MH1990PTC056808,ANCHOR LEASING PRIVATE LIMTED,Bharatiya Janta Party,1
U74899DL1995PLC074422,SUPERTECH LIMITED,Bharatiya Janta Party,1
U45200MH1995PTC093041,LODHA DEVELOPERS PRIVATE LIMITED,Bharatiya Janta Party,1
U74899DL1992PLC051124,SHAKTI BHOG FOODS LIMITED,Bharatiya Janta Party,1
L31200GJ2004PLC044068,TORRENT POWER LIMITED,Bharatiya Janta Party,
U45203MH1994PTC077075,MODERN ROAD MAKERS P LTD,Bharatiya Janta Party,
U35921PB1951PLC001699,AVON CYCLES LIMITED,Bharatiya Janta Party,2
L23109GA1967PLC000076,GOA CARBON LIMITED,Bharatiya Janta Party,2
L99999MH1986PLC103624,VIDEOCON INDUSTRIES LIMITED,Bharatiya Janta Party,3
L65990TN1975PLC062634,STERLITE INDUSTRIES (INDIA) LIMITED,Bharatiya Janta Party,2
U35921PB1968PLC002754,AVON ISPAT & POWER LIMITED,Bharatiya Janta Party,2
L24230GJ1972PLC002126,TORRENT PHARMACEUTICALS LTD,Bharatiya Janta Party,
L20101WB1982PLC034435,CENTURY PLYBOARDS (INDIA) LTD.,Bharatiya Janta Party,
U29130WB1946PLC013643,NATIONAL ENGINEERING INDUSTRIES LIMITED,Bharatiya Janta Party,
L31300MH1967PLC016531,FINOLEX CABLES LIMITED,Bharatiya Janta Party,
L24239TG1986PLC015190,AUROBINDO PHARMA LTD,Bharatiya Janta Party,
U93000WB2013NPL196942,SAMAJ ELECTORALTRUST ASSOCIATION,Bharatiya Janta Party,
L40108PN1981PLC024153,FINOLEX INDUSTRIES LIMITED,Bharatiya Janta Party,
L99999MH1949PLC007039,PATEL ENGINEERING LIMITED,Bharatiya Janta Party,
U15541GA1987PTC000787,DEMPO INDUSTRIES PRIVATE LIMITED,Bharatiya Janta Party,
U51909DL1974PLC042836,RALSON (INDIA) LIMITED,Bharatiya Janta Party,
U93000TN2014NPL095777,TRIUMPH ELECTORAL TRUST,Bharatiya Janta Party,
L01132WB1919PLC003334,BIRLA CORPORATION LIMITED,Bharatiya Janta Party,
L29120PN2009PLC133351,KIRLOSKAR OIL ENGINES LIMITED,Bharatiya Janta Party,
L51100GJ1993PLC019067,ADANI ENTERPRISES LIMITED,Bharatiya Janta Party,
L24230GJ1995PLC025878,CADILA HEALTHCARE LIMITED,Bharatiya Janta Party,
U13100KA2004PTC035223,TUMKUR MINERALS PRIVATE LIMITED,Bharatiya Janta Party,
L25209PN1961PLC012046,BHARAT FORGE LTD,Bharatiya Janta Party,
U74899DL1981PLC011274,BHARAT HOTELS LIMITED,Bharatiya Janta Party,
U15146GJ1999PLC035320,ADANI WILMAR LIMITED,Bharatiya Janta Party,
U15209TG1995PLC020324,DODLA DAIRY LIMITED,Bharatiya Janta Party,
L45204AP2001PLC057199,KSK ENERGY VENTURES LIMITED,Bharatiya Janta Party,
L01132AS1915PLC000200,B & A LIMITED,Bharatiya Janta Party,
U45201GJ1996PTC029714,SAVVY INFRASTRUCTURE PRIVATE LIMITED,Bharatiya Janta Party,
U24231GJ1994PTC023482,NIRMA CHEMICAL WORKS PRIVATE LIMITED,Bharatiya Janta Party,
U93000PN2014NPL150821,HARMONY ELECTORAL TRUST,Bharatiya Janta Party,
U45203AP1986PLC006925,NAVAYUGA ENGINEERING COMPANY LIMITED,Bharatiya Janta Party,2
U05005TG1995PLC021217,OCEAN SPARKLE LIMITED,Bharatiya Janta Party,2
L24211RJ1946PLC000469,PI INDUSTRIES LIMITED,Bharatiya Janta Party,2
L45200GJ1991PLC015817,GANESH HOUSING CORPORATION LIMITED,Bharatiya Janta Party,2
U15420MH1933PLC001918,HARINAGAR SUGAR MILLS LIMITED,Bharatiya Janta Party,2
U74899RJ1987PLC029106,SECURE METERS LIMITED,Bharatiya Janta Party,2
U21000MH2007PLC172382,BILT GRAPHIC PAPER PRODUCTS LIMITED,Bharatiya Janta Party,2
U99999DL1999PLC102277,TDI INFRATECH LIMITED,Bharatiya Janta Party,2
U85110KA2010PTC052540,MANIPAL HEALTH ENTERPRISES PRIVATE LIMITED,Bharatiya Janta Party,2
L72200RJ1995PLC009798,COMPUCOM SOFTWARE LIMITED,Bharatiya Janta Party,2
L21010MH1945PLC010337,BALLARPUR INDUSTRIES LIMITED,Bharatiya Janta Party,2
L24231PB1961PLC003747,RANBAXY LABORATORIES LTD,Bharatiya Janta Party,2
L55101MH1981PLC024097,HOTEL LEELAVENTURE LIMITED,Bharatiya Janta Party,2
L99999MH1988PLC046445,VALUE INDUSTRIES LIMITED,Bharatiya Janta Party,2
U15209TG1995PLC020324,DODLA DAIRY LIMITED,Communist Party of India (MARXIST),
U45203AP1986PLC006925,NAVAYUGA ENGINEERING COMPANY LIMITED,Communist Party of India (MARXIST),
U05005TG1995PLC021217,OCEAN SPARKLE LIMITED,Communist Party of India (MARXIST),
L15142TG1986PLC006957,AGRO TECH FOODS LIMITED,Communist Party of India (MARXIST),1
L24110TG1991PLC012471,GRANULES INDIA LIMITED,Communist Party of India (MARXIST),1
U27310KL1991PTC006026,PEEKAY STEEL CASTINGS PRIVATE LIMITED,Communist Party of India (MARXIST),1
U85110KL1995PLC008677,MALABAR INSTITUTE OF MEDICAL SCIENCES LIMITED,Communist Party of India (MARXIST),1
L15110AP1961PLC000874,CCL PRODUCTS (INDIA) LIMITED,Communist Party of India (MARXIST),1
U45200TG1983PLC003796,SEW INFRASTRUCTURE LIMITED,Communist Party of India (MARXIST),2
L99999TG1989PLC057289,GAYATRI PROJECTS LIMITED,Communist Party of India (MARXIST),2
L15500WB1997PLC085661,DHUNSERI TEA & INDUSTRIES LIMITED,Indian National Congress,
L31200GJ2004PLC044068,TORRENT POWER LIMITED,Indian National Congress,
U45203MH1994PTC077075,MODERN ROAD MAKERS P LTD,Indian National Congress,
L24230GJ1972PLC002126,TORRENT PHARMACEUTICALS LTD,Indian National Congress,
L20101WB1982PLC034435,CENTURY PLYBOARDS (INDIA) LTD.,Indian National Congress,
U29130WB1946PLC013643,NATIONAL ENGINEERING INDUSTRIES LIMITED,Indian National Congress,
L24239TG1986PLC015190,AUROBINDO PHARMA LTD,Indian National Congress,
U93000WB2013NPL196942,SAMAJ ELECTORALTRUST ASSOCIATION,Indian National Congress,
L99999MH1949PLC007039,PATEL ENGINEERING LIMITED,Indian National Congress,
U15541GA1987PTC000787,DEMPO INDUSTRIES PRIVATE LIMITED,Indian National Congress,
U51909DL1974PLC042836,RALSON (INDIA) LIMITED,Indian National Congress,
U93000TN2014NPL095777,TRIUMPH ELECTORAL TRUST,Indian National Congress,
L01132WB1919PLC003334,BIRLA CORPORATION LIMITED,Indian National Congress,
L29120PN2009PLC133351,KIRLOSKAR OIL ENGINES LIMITED,Indian National Congress,
L51100GJ1993PLC019067,ADANI ENTERPRISES LIMITED,Indian National Congress,
L24230GJ1995PLC025878,CADILA HEALTHCARE LIMITED,Indian National Congress,
U13100KA2004PTC035223,TUMKUR MINERALS PRIVATE LIMITED,Indian National Congress,
L25209PN1961PLC012046,BHARAT FORGE LTD,Indian National Congress,
U74899DL1981PLC011274,BHARAT HOTELS LIMITED,Indian National Congress,
U15146GJ1999PLC035320,ADANI WILMAR LIMITED,Indian National Congress,
L45204AP2001PLC057199,KSK ENERGY VENTURES LIMITED,Indian National Congress,2
L01132AS1915PLC000200,B & A LIMITED,Indian National Congress,2
U45201GJ1996PTC029714,SAVVY INFRASTRUCTURE PRIVATE LIMITED,Indian National Congress,2
U24231GJ1994PTC023482,NIRMA CHEMICAL WORKS PRIVATE LIMITED,Indian National Congress,2
U93000PN2014NPL150821,HARMONY ELECTORAL TRUST,Indian National Congress,2
U35921PB1951PLC001699,AVON CYCLES LIMITED,Indian National Congress,
L23109GA1967PLC000076,GOA CARBON LIMITED,Indian National Congress,
L24239TG1986PLC015190,AUROBINDO PHARMA LTD,Indian National Congress,
U93000WB2013NPL196942,SAMAJ ELECTORALTRUST ASSOCIATION,Indian National Congress,
L99999MH1986PLC103624,VIDEOCON INDUSTRIES LIMITED,Indian National Congress,
L24211RJ1946PLC000469,PI INDUSTRIES LIMITED,Indian National Congress,
L45200GJ1991PLC015817,GANESH HOUSING CORPORATION LIMITED,Indian National Congress,
U15420MH1933PLC001918,HARINAGAR SUGAR MILLS LIMITED,Indian National Congress,
U74899RJ1987PLC029106,SECURE METERS LIMITED,Indian National Congress,
U21000MH2007PLC172382,BILT GRAPHIC PAPER PRODUCTS LIMITED,Indian National Congress,
U99999DL1999PLC102277,TDI INFRATECH LIMITED,Indian National Congress,
U85110KA2010PTC052540,MANIPAL HEALTH ENTERPRISES PRIVATE LIMITED,Indian National Congress,
L72200RJ1995PLC009798,COMPUCOM SOFTWARE LIMITED,Indian National Congress,
L21010MH1945PLC010337,BALLARPUR INDUSTRIES LIMITED,Indian National Congress,
L24231PB1961PLC003747,RANBAXY LABORATORIES LTD,Indian National Congress,
L55101MH1981PLC024097,HOTEL LEELAVENTURE LIMITED,Indian National Congress,
U45200TG1983PLC003796,SEW INFRASTRUCTURE LIMITED,Indian National Congress,
L99999TG1989PLC057289,GAYATRI PROJECTS LIMITED,Indian National Congress,
L24110GJ1986PLC009003,BODAL CHEMICALS LIMITED,Indian National Congress,1
U85110CH2000PLC023744,ESCORTS HEART INSTITUTE AND RESEARCH CENTRE LIMITED,Indian National Congress,1
U01132AS1977PLC001699,AMGOORIE INDIA LTD,Indian National Congress,1
L31102MH1964PLC013011,EMCO LIMITED,Indian National Congress,1
L67120DD1987PLC002395,PSL LIMITED,Indian National Congress,1
L29113PN1920PLC000670,KIRLOSKAR BROTHERS LIMITED,Indian National Congress,1
L74899DL1989PLC034923,DCM SHRIRAM LIMITED,Indian National Congress,1
U92411MH1999PLC122542,NIRMAL LIFESTYLE LIMITED,Indian National Congress,1
U45201GJ1995PTC024097,PRIYANKA LAND DEVELOPERS PVT LTD,Indian National Congress,1
U27109DL1901PLC022060,HONDA SIEL POWER PRODUCTS LTD,Indian National Congress,1
U51102DL1997PLC112862,SOLARIS CHEMTECH LIMITED,Indian National Congress,1
U74899DL1995PLC064140,SUNSTAR OVERSEAS LIMITED,Indian National Congress,1
L17110MH1973PLC019786,RELIANCE INDUSTRIES LIMITED,Indian National Congress,1
U85110KA1996PTC020897,EMBASSY PROPERTY DEVELOPMENTS PRIVATE LIMITED,Indian National Congress,1
U27104UP1973PLC003791,RLG INDUSTRIES LIMITED,Indian National Congress,1
L29193MH1995PLC092323,NITIN FIRE PROTECTION INDUSTRIES LIMITED,Indian National Congress,1
L52110DL1989PLC037097,KOHINOOR FOODS LIMITED.,Indian National Congress,1
U18101HR2008PLC055231,VISTA KNITBERRY FASHIONS LIMITED,Indian National Congress,1
U72900MH2007PLC234712,RELIANCE JIO INFOCOMM LIMITED,Indian National Congress,1
L85110TN1979PLC008035,APOLLO HOSPITALS ENTERPRISE LIMITED,Indian National Congress,1
L21012PB1997PLC035243,KUANTUM PAPERS LIMITED,Indian National Congress,1
U51909DL1996PTC264255,MADHUVAN TIEUP PVT LTD,Indian National Congress,1
U01132AS1978PLC001825,STEWART HOLL (INDIA) LIMITED,Indian National Congress,1
L29301MH1994PLC078695,KANCHAN INTERNATIONAL LIMITED,Indian National Congress,1
L15494WB1895PLC000963,THE GROB TEA CO LTD,Indian National Congress,1
L15111UP1992PLC014942,UMANG DAIRIES LIMITED,Indian National Congress,1
U74999MH2006PLC163924,JSW PROJECTS LIMITED,Indian National Congress,1
L01111DL1993PLC052845,KRBL LIMITED,Indian National Congress,1
U51900GJ1989PLC079501,GERMAN REMEDIES LIMITED,Indian National Congress,1
U24230GJ1997PLC031523,UNIMED TECHNOLOGIES LIMITED.,Indian National Congress,1
L17120MH1992PLC066880,BOMBAY RAYON FASHIONS LIMITED,Indian National Congress,1
L99999MH1988PLC047408,MAN INDUSTRIES (INDIA) LIMITED,Indian National Congress,1
U51909PB1992PLC012274,BHANDARI EXPORT INDUSTRIES LTD,Indian National Congress,1
L15412WB1918PLC002964,BRITANNIA INDUSTRIES LTD,Indian National Congress,1
U26942ML2000PLC006173,CEMENT INTERNATIONAL LIMITED,Indian National Congress,1
U24230GJ2016PLC085929,ZYDUS HEALTHCARE LIMITED,Indian National Congress,1
L63040DL1981PLC011941,INTERNATIONAL TRAVEL HOUSE LIMITED,Indian National Congress,1
L24116UP1978PLC004624,JUBILANT LIFE SCIENCES LIMITED,Indian National Congress,1
U26942ML2003PLC007090,ADHUNIK CEMENT LIMITED,Indian National Congress,1
L67120DL2000PLC103183,INDIABULLS FINANCIAL SERVICES LIMITED,Indian National Congress,1
U51900MH1990PLC055011,SHREE THIRUMALAI MARKETING & INVESTMENTS LIMITED,Indian National Congress,1
U01132WB1995PTC071477,DARSHANLAL ANAND PRAKASH & SONS PVT LTD,Indian National Congress,1
U01132AS1977PLC001714,APEEJAY TEA LIMITED,Indian National Congress,1
L17120MH1871PLC000005,PENINSULA LAND LIMITED,Indian National Congress,1
L25209HP1989PLC009557,STURDY INDUSTRIES LIMITED,Indian National Congress,1
U74899DL1982PLC014237,EASTMAN INDUSTRIES LIMITED,Indian National Congress,1
L24246MH2000PLC129806,GODREJ CONSUMER PRODUCTS LIMITED,Indian National Congress,1
U73100AP1950PTC000420,SOUTH INDIA RESEARCH INSTITUTE PVT LTD,Indian National Congress,1
L74999MH1934PLC002093,EVEREST INDUSTRIES LIMITED,Indian National Congress,1
L26943RJ1979PLC001935,SHREE CEMENT LIMITED,Indian National Congress,1
U27108WB1995PLC071253,APEEJAY TEA LIMITED,Indian National Congress,1
U14108ML2000PLC006057,MEGHALAYA MINERALS & MINES LIMITED,Indian National Congress,1
U74140MP1979GOI001502,MPCON LIMITED,Indian National Congress,1
L40100GJ1995PLC025447,SUZLON ENERGY LIMITED,Indian National Congress,1
L18101MH1992PLC065136,KEWAL KIRAN CLOTHING LIMITED,Indian National Congress,1
L40103DL2004PLC203950,HONDA SIEL POWER PRODUCTS LIMITED,Indian National Congress,1
L85190MH1947PLC005913,INDOCO REMEDIES LIMITED,Indian National Congress,1
L01132WB1994PLC063513,ROSSELL INDIA LIMITED,Indian National Congress,1
L67120WB1978PLC031561,PINCON SPIRIT LIMITED,Indian National Congress,1
L99999MH1995PLC092971,MCS LIMITED,Indian National Congress,1
L64201DL2006PLC156038,BHARTI INFRATEL LIMITED,Indian National Congress,1
U74140JH1973GOI001199,MECON LIMITED,Indian National Congress,1
L35911DL1984PLC017354,HERO MOTOCORP LIMITED,Indian National Congress,1
U45200MH1995PTC091425,SANSKRITI DEVELOPERS PRIVATE LIMITED,Indian National Congress,1
L74899DL1995PLC070609,BHARTI AIRTEL LIMITED,Indian National Congress,1
U92119DL1970PLC005407,NATIONAL ASSOCIATION OF MOTION PICTURE EXHIBITORS,Indian National Congress,1
U29222PB1964PLC002568,FMI LIMITED,Indian National Congress,1
L74899DL1988PLC033314,PUNJ-LLOYD LIMITED,Indian National Congress,1
U65993WB1994PLC061684,RUSSELL CREDIT LTD,Indian National Congress,1
L74999HR2000PLC040183,SRS LIMITED,Indian National Congress,1
L18101DL1970PLC005197,SRF LIMITED,Indian National Congress,1
L01132AS1977PLC001685,ASSAM COMPANY INDIA LIMITED,Indian National Congress,1
U51909AS1951PTC008630,BAROOAHS AND ASSOCIATES PVT LTD,Indian National Congress,1
L16005WB1910PLC001985,ITC LIMITED,Indian National Congress,1
L31200GJ2004PLC044068,TORRENT POWER LIMITED,Nationalist Congress Party,3
U45203MH1994PTC077075,MODERN ROAD MAKERS P LTD,Nationalist Congress Party,3
L31300MH1967PLC016531,FINOLEX CABLES LIMITED,Nationalist Congress Party,
L40108PN1981PLC024153,FINOLEX INDUSTRIES LIMITED,Nationalist Congress Party,
L99999MH1988PLC046445,VALUE INDUSTRIES LIMITED,Nationalist Congress Party,
U80903PN1984PTC032945,SERUM INSTITUTE OF INDIA PRIVATE LIMITED,Nationalist Congress Party,1
U15400PN1989PTC054431,YASHOMALA FARMING & TOURISM PRIVATE LIMITED,Nationalist Congress Party,1
L45200MH1926PLC001228,HINDUSTAN CONSTRUCTION COMPANY LIMITED,Nationalist Congress Party,1
U45201MH1994PLC082257,MAGARPATTA TOWNSHIP DEVELOPMENT AND CONSTRUCTION COMPANY LIMITED,Nationalist Congress Party,1
L99999MH1962PLC012451,UNICHEM LABORATORIES LIMITED,Nationalist Congress Party,1
L17299WB1981PLC033331,SUDHA APPARELS LTD,Nationalist Congress Party,1
