,Unnamed: 0,Constituency,state,Type,Margin %,isMPMinister,centerAlignment,stateAlignment,rs_min_mplad_district,is_backward,ministry_comp_intersection,amount,non_backward,not_aligned,Total,Totalcsr
46,46,BAGALKOT,KARNATAKA,GEN,10.8,0.0,1,0,0,1,0,490000000,0,0,5,0.0
47,47,BAGHPAT,UTTAR PRADESH,GEN,20.9,0.0,1,0,0,0,0,1450000000,1,0,146,3.0
48,48,BAHARAMPUR,WEST BENGAL,GEN,30.9,0.0,0,0,0,1,0,470000000,0,1,1,0.0
49,49,BAHRAICH,UTTAR PRADESH,SC,10.2,0.0,1,0,0,1,0,0,0,0,3,0.0
50,50,BALAGHAT,MADHYA PRADESH,GEN,8.6,0.0,1,1,0,0,0,2780000000,1,0,5,0.0
51,51,BALASORE,ODISHA,GEN,13.5,0.0,0,1,0,0,0,1420000000,1,0,9,1.0
52,52,BALLIA,UTTAR PRADESH,GEN,14.8,0.0,1,0,0,0,0,400000000,1,0,1,0.0
53,53,BALURGHAT,WEST BENGAL,GEN,10.1,0.0,0,1,0,1,0,0,0,0,0,0.0
54,54,BANASKANTHA,GUJARAT,GEN,22.8,1.0,1,1,0,0,1,1000000000,1,0,2,0.0
55,55,BANDA,UTTAR PRADESH,GEN,13.5,0.0,1,0,0,1,0,0,0,0,0,0.0
56,56,BANGALORE CENTRAL,KARNATAKA,GEN,12.8,0.0,1,0,1,0,1,75230000000,1,0,389,9.0
57,57,BANGALORE NORTH,KARNATAKA,GEN,16.9,1.0,1,0,1,0,1,75230000000,1,0,389,9.0
58,58,BANGALORE RURAL,KARNATAKA,GEN,15.9,0.0,0,1,1,0,1,124440000000,1,0,512,19.0
59,59,BANGALORE SOUTH,KARNATAKA,GEN,20.5,1.0,1,0,1,0,1,75230000000,1,0,389,9.0
60,60,BANGAON,WEST BENGAL,SC,11.4,0.0,0,1,0,1,0,1910000000,0,0,40,0.0
61,61,BANKA,BIHAR,GEN,1.1,0.0,0,0,0,1,0,90000000,0,1,10,0.0
62,62,BANKURA,WEST BENGAL,GEN,8.0,0.0,0,1,0,0,0,4040000000,1,0,19,0.0
63,63,BANSGAON,UTTAR PRADESH,SC,21.6,0.0,1,0,0,0,0,700000000,1,0,4,0.0
64,64,BANSWARA,RAJASTHAN,ST,7.8,0.0,1,1,0,0,0,210000000,1,0,7,1.0
65,65,BAPATLA,ANDHRA PRADESH,SC,2.8,0.0,1,1,0,0,0,6080000000,1,0,49,3.0
66,66,BARABANKI,UTTAR PRADESH,SC,19.8,0.0,1,0,0,0,0,340000000,1,0,270,0.0
67,67,BARAMATI,MAHARASHTRA,GEN,6.5,0.0,0,0,0,0,0,176290000000,1,1,779,49.0
68,68,BARAMULLA,JAMMU AND KASHMIR,GEN,6.3,0.0,0,0,0,1,0,0,0,1,0,0.0
69,69,BARASAT,WEST BENGAL,GEN,13.6,0.0,0,1,0,0,0,240000000,1,0,38,0.0
