ADI,ADI_Normalized,AmountFinal,AmountFinal_Normalized,Constituency,FactoriesFinal,FactoriesFinal_Normalized,Margin %,Margin%_Normalized,Total,Totalcsr,Type,amount,centerAlignment,isMPMinister,is_backward,ministry_comp_intersection,non_backward,not_aligned,rs_min_mplad_district,state,stateAlignment
15,0.727272727272727,10900000,0.001926782273603,JADAVPUR,0,0,9.8,0.174377224199288,16,1,GEN,1090000000,0,0,0,0,1,0,0,WEST BENGAL,1
10,0.272727272727273,24600000,0.004348517791801,JALPAIGURI,25,0.031928480204342,5.3,0.094306049822064,25,0,SC,800000000,0,0,0,0,1,0,0,WEST BENGAL,1
10,0.272727272727273,4700000,0.000830814374856,JANGIPUR,0,0,0.7,0.012455516014235,1,0,GEN,470000000,0,0,1,0,0,1,0,WEST BENGAL,0
15,0.727272727272727,10900000,0.001926782273603,JAYNAGAR,0,0,9.1,0.161921708185053,16,1,SC,1090000000,0,0,0,0,1,0,0,WEST BENGAL,1
13,0.545454545454545,37300000,0.006593484294073,JHARGRAM,0,0,27.7,0.49288256227758,36,0,ST,3730000000,0,0,0,0,1,0,0,WEST BENGAL,1
14,0.636363636363636,0,0,KANTHI,0,0,17.8,0.316725978647687,0,0,GEN,0,0,0,0,0,1,0,0,WEST BENGAL,1
16,0.818181818181818,1983200000,0.350568312386205,KOLKATA DAKSHIN,100,0.127713920817369,11.7,0.208185053380783,213,35,GEN,71540000000,0,0,0,0,1,0,0,WEST BENGAL,1
18,1,1704500000,0.301302787647381,KOLKATA UTTAR,98,0.125159642401022,10.1,0.179715302491103,197,34,GEN,70450000000,0,0,0,0,1,0,0,WEST BENGAL,1
11,0.363636363636364,588400000,0.104010888971381,KRISHNANAGAR,1,0.001277139208174,5.7,0.101423487544484,2,0,GEN,1670000000,0,0,1,0,0,0,0,WEST BENGAL,1
10,0.272727272727273,5050000,0.000892683530431,MALDAHA DAKSHIN,6,0.007662835249042,15,0.266903914590747,1,0,GEN,470000000,0,0,1,0,0,1,0,WEST BENGAL,0
10,0.272727272727273,350000,6.18691555744109E-05,MALDAHA UTTAR,0,0,5.6,0.099644128113879,0,0,GEN,0,0,0,1,0,0,1,0,WEST BENGAL,0
18,1,14800000,0.002616181435718,MATHURAPUR,20,0.025542784163474,10.9,0.193950177935943,38,0,SC,240000000,0,0,0,0,1,0,0,WEST BENGAL,1
14,0.636363636363636,6000000,0.001060614095561,MEDINIPUR,56,0.071519795657727,14.7,0.261565836298932,29,0,GEN,0,0,0,0,0,1,0,0,WEST BENGAL,1
10,0.272727272727273,30000000,0.005303070477807,MURSHIDABAD,1,0.001277139208174,1.4,0.02491103202847,3,0,GEN,2140000000,0,0,1,0,0,1,0,WEST BENGAL,0
9,0.181818181818182,88900000,0.0157147655159,PURULIA,7,0.008939974457216,12.8,0.227758007117438,7,0,GEN,3730000000,0,0,0,0,1,0,0,WEST BENGAL,1
10,0.272727272727273,0,0,RAIGANJ,0,0,0.1,0.001779359430605,0,0,GEN,0,0,0,0,0,1,1,0,WEST BENGAL,0
11,0.363636363636364,202600000,0.035813402626788,RANAGHAT,2,0.002554278416347,14.9,0.265124555160142,2,0,SC,1670000000,0,0,1,0,0,0,0,WEST BENGAL,1
18,1,13300000,0.002351027911828,SREERAMPUR,0,0,11.8,0.209964412811388,107,3,GEN,1330000000,0,0,0,0,1,0,0,WEST BENGAL,1
14,0.636363636363636,0,0,TAMLUK,1,0.001277139208174,18.4,0.327402135231317,0,0,GEN,0,0,0,0,0,1,0,0,WEST BENGAL,1
18,1,5700000,0.001007583390783,ULUBERIA,0,0,17,0.302491103202847,79,3,GEN,570000000,0,0,0,0,1,0,0,WEST BENGAL,1
