,company,CIN,Constituency,state,district,Party,Winning Candidate,LokSabha_Ministry,LokSabha_MinCode,rs_min_name,rs_min_ministry,ministriesInfluenced,buss_sector,amount
152,AIMIL LIMITED,U74899DL1972PLC006093,BANGALORE RURAL,KARNATAKA,BANGALORE URBAN,Indian National Congress,D K Suresh,[],[],['Venkaiah Naidu'],"[35, 45]","[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,0.00
153,AIMIL LIMITED,U74899DL1972PLC006093,BANGALORE SOUTH,KARNATAKA,BANGALORE URBAN,Bharatiya Janta Party,Ananth Kumar,['Chemicals and Fertilizers'],[34.0],['Venkaiah Naidu'],"[35, 45]","[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,0.00
154,AMADEUS SOFTWARE LABS INDIA PRIVATE LIMITED,U72200KA2012FTC062617,BANGALORE CENTRAL,KARNATAKA,BANGALORE URBAN,Bharatiya Janta Party,P.C. Mohan,[],[],['Venkaiah Naidu'],"[35, 45]","[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,0.00
155,AMADEUS SOFTWARE LABS INDIA PRIVATE LIMITED,U72200KA2012FTC062617,BANGALORE NORTH,KARNATAKA,BANGALORE URBAN,Bharatiya Janta Party,D.V Sadananda Gowda,['Law and Justice'],[40.0],['Venkaiah Naidu'],"[35, 45]","[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,0.00
156,AMADEUS SOFTWARE LABS INDIA PRIVATE LIMITED,U72200KA2012FTC062617,BANGALORE RURAL,KARNATAKA,BANGALORE URBAN,Indian National Congress,D K Suresh,[],[],['Venkaiah Naidu'],"[35, 45]","[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,0.00
157,AMADEUS SOFTWARE LABS INDIA PRIVATE LIMITED,U72200KA2012FTC062617,BANGALORE SOUTH,KARNATAKA,BANGALORE URBAN,Bharatiya Janta Party,Ananth Kumar,['Chemicals and Fertilizers'],[34.0],['Venkaiah Naidu'],"[35, 45]","[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,0.00
158,TRIDENT LIMITED,L99999PB1990PLC010307,VIDISHA,MADHYA PRADESH,SEHORE,Bharatiya Janta Party,Sushma Swaraj,['External Affairs'],[28.0],[],[],"[1, 2, 6, 8, 9, 11, 16, 19, 20, 21, 23, 24, 27, 28, 32, 33, 37, 40, 46]",Others,"2,100,000.00"
159,UNIFRAX INDIA PRIVATE LIMITED,U26993MH1983PTC205758,CHANDRAPUR,MAHARASHTRA,CHANDRAPUR,Bharatiya Janta Party,Ahir Hansraj Gangaram,['Chemicals and Fertilizers'],[34.0],[],[],"[4, 9, 16, 20, 21, 24, 33, 34, 37, 41, 42, 46]","Manufacturing (Metals & Chemicals, and products thereof)","1,200,000.00"
160,POWERLINKS TRANSMISSION LIMITED,U40105DL2001PLC110714,MUMBAI SOUTH,MAHARASHTRA,MUMBAI CITY,Shiv Sena,Arvind Sawant,[],[],['Piyush Goyal'],"[18, 38, 10]","[3, 10, 15, 16, 18, 20, 21, 24, 38, 51]","Electricity, Gas & Water companies","5,300,000.00"
161,POWERLINKS TRANSMISSION LIMITED,U40105DL2001PLC110714,MUMBAI SOUTH CENTRAL,MAHARASHTRA,MUMBAI CITY,Shiv Sena,Rahul Ramesh Shewale,[],[],['Piyush Goyal'],"[18, 38, 10]","[3, 10, 15, 16, 18, 20, 21, 24, 38, 51]","Electricity, Gas & Water companies","5,300,000.00"
162,T-3 ENERGY SERVICES INDIA PRIVATE LIMITED,U40200PN2008FTC135459,MUMBAI SOUTH,MAHARASHTRA,MUMBAI CITY,Shiv Sena,Arvind Sawant,[],[],['Piyush Goyal'],"[18, 38, 10]","[3, 10, 15, 16, 18, 20, 21, 24, 38, 51]","Electricity, Gas & Water companies","2,500,000.00"
163,T-3 ENERGY SERVICES INDIA PRIVATE LIMITED,U40200PN2008FTC135459,MUMBAI SOUTH CENTRAL,MAHARASHTRA,MUMBAI CITY,Shiv Sena,Rahul Ramesh Shewale,[],[],['Piyush Goyal'],"[18, 38, 10]","[3, 10, 15, 16, 18, 20, 21, 24, 38, 51]","Electricity, Gas & Water companies","2,500,000.00"
164,TATA POWER TRADING COMPANY LIMITED,U40100MH2003PLC143770,MUMBAI SOUTH,MAHARASHTRA,MUMBAI CITY,Shiv Sena,Arvind Sawant,[],[],['Piyush Goyal'],"[18, 38, 10]","[3, 10, 15, 16, 18, 20, 21, 24, 38, 51]","Electricity, Gas & Water companies","700,000.00"
165,TATA POWER TRADING COMPANY LIMITED,U40100MH2003PLC143770,MUMBAI SOUTH CENTRAL,MAHARASHTRA,MUMBAI CITY,Shiv Sena,Rahul Ramesh Shewale,[],[],['Piyush Goyal'],"[18, 38, 10]","[3, 10, 15, 16, 18, 20, 21, 24, 38, 51]","Electricity, Gas & Water companies","700,000.00"
166,IGOPL OFFSHORE PRIVATE LIMITED,U11101MH2008PTC183100,MUMBAI SOUTH,MAHARASHTRA,MUMBAI CITY,Shiv Sena,Arvind Sawant,[],[],['Piyush Goyal'],"[18, 38, 10]","[16, 17, 20, 21, 24, 30, 38]",Mining & Quarrying,"200,000.00"
167,IGOPL OFFSHORE PRIVATE LIMITED,U11101MH2008PTC183100,MUMBAI SOUTH CENTRAL,MAHARASHTRA,MUMBAI CITY,Shiv Sena,Rahul Ramesh Shewale,[],[],['Piyush Goyal'],"[18, 38, 10]","[16, 17, 20, 21, 24, 30, 38]",Mining & Quarrying,"200,000.00"
168,SOLAR INDUSTRIES INDIA LIMITED,L74999MH1995PLC085878,NAGPUR,MAHARASHTRA,NAGPUR,Bharatiya Janta Party,Gadkari Nitin Jairam,"['Road Transport and Highways', 'Shipping']","[31.0, 13.0]",[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"17,800,000.00"
169,MORARJEE TEXTILES LIMITED,L52322MH1995PLC090643,NAGPUR,MAHARASHTRA,NAGPUR,Bharatiya Janta Party,Gadkari Nitin Jairam,"['Road Transport and Highways', 'Shipping']","[31.0, 13.0]",[],[],"[9, 11, 12, 16, 20, 21, 24, 26, 27, 28, 30, 31, 32, 34, 37, 41]",Trading,"3,300,000.00"
170,ABHIJIT REALTORS & INFRAVENTURES PRIVATE LIMITED,U45208MH2007PTC174132,NAGPUR,MAHARASHTRA,NAGPUR,Bharatiya Janta Party,Gadkari Nitin Jairam,"['Road Transport and Highways', 'Shipping']","[31.0, 13.0]",[],[],"[3, 13, 16, 20, 21, 24, 31, 35, 50]",Construction,"1,300,000.00"
171,KEC INTERNATIONAL LIMITED,L45200MH2005PLC152061,NAGPUR,MAHARASHTRA,NAGPUR,Bharatiya Janta Party,Gadkari Nitin Jairam,"['Road Transport and Highways', 'Shipping']","[31.0, 13.0]",[],[],"[3, 13, 16, 20, 21, 24, 31, 35, 50]",Construction,"1,300,000.00"
172,MECGALE PNEUMATICS PRIVATE LIMITED,U74999MH2003PTC139205,NAGPUR,MAHARASHTRA,NAGPUR,Bharatiya Janta Party,Gadkari Nitin Jairam,"['Road Transport and Highways', 'Shipping']","[31.0, 13.0]",[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"600,000.00"
173,CDET EXPLOSIVE INDUSTRIES PRIVATE LIMITED,U29193MH1998PTC113548,NAGPUR,MAHARASHTRA,NAGPUR,Bharatiya Janta Party,Gadkari Nitin Jairam,"['Road Transport and Highways', 'Shipping']","[31.0, 13.0]",[],[],"[4, 12, 13, 16, 20, 21, 24, 37]",Manufacturing (Machinery & Equipments),"500,000.00"
174,EXCEL CONTROLINKAGE PRIVATE LIMITED,U29130MH1994PTC077836,NAGPUR,MAHARASHTRA,NAGPUR,Bharatiya Janta Party,Gadkari Nitin Jairam,"['Road Transport and Highways', 'Shipping']","[31.0, 13.0]",[],[],"[4, 12, 13, 16, 20, 21, 24, 37]",Manufacturing (Machinery & Equipments),"300,000.00"
175,D P JAIN AND CO INFRASTRUCTURE PRIVATE LIMITED,U45200MH2004PTC150149,NAGPUR,MAHARASHTRA,NAGPUR,Bharatiya Janta Party,Gadkari Nitin Jairam,"['Road Transport and Highways', 'Shipping']","[31.0, 13.0]",[],[],"[3, 13, 16, 20, 21, 24, 31, 35, 50]",Construction,"200,000.00"
176,VAST INTEGRATED SERVICES LIMITED,U74999MH2001PLC243957,NAGPUR,MAHARASHTRA,NAGPUR,Bharatiya Janta Party,Gadkari Nitin Jairam,"['Road Transport and Highways', 'Shipping']","[31.0, 13.0]",[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,0.00
177,AQUAPHARM CHEMICALS PRIVATE LIMITED,U24231MH1974PTC017243,RAIGAD,MAHARASHTRA,RAIGAD,Shiv Sena,Anant Geete,['Heavy Industries and Public Enterprises'],[4.0],[],[],"[4, 9, 16, 20, 21, 24, 33, 34, 37, 41, 42, 46]","Manufacturing (Metals & Chemicals, and products thereof)","2,700,000.00"
178,CENTURY ENKA LIMITED,L24304PN1965PLC139075,RAIGAD,MAHARASHTRA,RAIGAD,Shiv Sena,Anant Geete,['Heavy Industries and Public Enterprises'],[4.0],[],[],"[4, 9, 16, 20, 21, 24, 33, 34, 37, 41, 42, 46]","Manufacturing (Metals & Chemicals, and products thereof)","2,000,000.00"
179,EXCEL INDUSTRIES LIMITED,L24200MH1960PLC011807,RAIGAD,MAHARASHTRA,RAIGAD,Shiv Sena,Anant Geete,['Heavy Industries and Public Enterprises'],[4.0],[],[],"[4, 9, 16, 20, 21, 24, 33, 34, 37, 41, 42, 46]","Manufacturing (Metals & Chemicals, and products thereof)","600,000.00"
180,RASHTRIYA CHEMICALS AND FERTILIZERS LIMITED,L24110MH1978GOI020185,RAIGAD,MAHARASHTRA,RAIGAD,Shiv Sena,Anant Geete,['Heavy Industries and Public Enterprises'],[4.0],[],[],"[4, 9, 16, 20, 21, 24, 33, 34, 37, 41, 42, 46]","Manufacturing (Metals & Chemicals, and products thereof)","400,000.00"
181,AKZO NOBEL INDIA LIMITED,L24292WB1954PLC021516,RAIGAD,MAHARASHTRA,RAIGAD,Shiv Sena,Anant Geete,['Heavy Industries and Public Enterprises'],[4.0],[],[],"[4, 9, 16, 20, 21, 24, 33, 34, 37, 41, 42, 46]","Manufacturing (Metals & Chemicals, and products thereof)","400,000.00"
182,GARWARE WALL ROPES LIMITED,L25209MH1976PLC018939,RAIGAD,MAHARASHTRA,RAIGAD,Shiv Sena,Anant Geete,['Heavy Industries and Public Enterprises'],[4.0],[],[],"[4, 9, 16, 20, 21, 24, 33, 34, 37, 41, 42, 46]","Manufacturing (Metals & Chemicals, and products thereof)","400,000.00"
183,CHT (INDIA) PRIVATE LIMITED,U24297MH1996PTC149192,RAIGAD,MAHARASHTRA,RAIGAD,Shiv Sena,Anant Geete,['Heavy Industries and Public Enterprises'],[4.0],[],[],"[4, 9, 16, 20, 21, 24, 33, 34, 37, 41, 42, 46]","Manufacturing (Metals & Chemicals, and products thereof)","300,000.00"
184,GULF OIL LUBRICANTS INDIA LIMITED,L23203MH2008PLC267060,RAIGAD,MAHARASHTRA,RATNAGIRI,Shiv Sena,Anant Geete,['Heavy Industries and Public Enterprises'],[4.0],[],[],"[4, 9, 16, 20, 21, 24, 33, 34, 37, 41, 42, 46]","Manufacturing (Metals & Chemicals, and products thereof)","1,000,000.00"
185,EXCEL INDUSTRIES LIMITED,L24200MH1960PLC011807,RAIGAD,MAHARASHTRA,RATNAGIRI,Shiv Sena,Anant Geete,['Heavy Industries and Public Enterprises'],[4.0],[],[],"[4, 9, 16, 20, 21, 24, 33, 34, 37, 41, 42, 46]","Manufacturing (Metals & Chemicals, and products thereof)","600,000.00"
186,SIRMAXO CHEMICALS PVT LTD,U24239MH2006PTC164733,RAIGAD,MAHARASHTRA,RATNAGIRI,Shiv Sena,Anant Geete,['Heavy Industries and Public Enterprises'],[4.0],[],[],"[4, 9, 16, 20, 21, 24, 33, 34, 37, 41, 42, 46]","Manufacturing (Metals & Chemicals, and products thereof)","500,000.00"
187,GARWARE WALL ROPES LIMITED,L25209MH1976PLC018939,RAIGAD,MAHARASHTRA,RATNAGIRI,Shiv Sena,Anant Geete,['Heavy Industries and Public Enterprises'],[4.0],[],[],"[4, 9, 16, 20, 21, 24, 33, 34, 37, 41, 42, 46]","Manufacturing (Metals & Chemicals, and products thereof)","400,000.00"
188,PRAJ INDUSTRIES LIMITED,L27101PN1985PLC038031,RAIGAD,MAHARASHTRA,RATNAGIRI,Shiv Sena,Anant Geete,['Heavy Industries and Public Enterprises'],[4.0],[],[],"[4, 9, 16, 20, 21, 24, 33, 34, 37, 41, 42, 46]","Manufacturing (Metals & Chemicals, and products thereof)","100,000.00"
189,HINDUSTAN COLAS PRIVATE LIMITED,U23200MH1995PTC090671,RAIGAD,MAHARASHTRA,RATNAGIRI,Shiv Sena,Anant Geete,['Heavy Industries and Public Enterprises'],[4.0],[],[],"[4, 9, 16, 20, 21, 24, 33, 34, 37, 41, 42, 46]","Manufacturing (Metals & Chemicals, and products thereof)","100,000.00"
190,MEPCO INDUSTRIES LIMITED,U36911TN1987PLC014168,PONDICHERRY,PUDUCHERRY,KARAIKAL,All India N.R. Congress,R. Radhakrishnan,"['Road Transport and Highways', 'Shipping']","[31.0, 13.0]",[],[],"[4, 9, 11, 13, 16, 20, 21, 24, 27, 31, 32, 33, 36, 50]",Manufacturing (Others),0.0
191,RAHEJA UNIVERSAL (PVT) LIMITED,U45200MH1980PTC023430,PONDICHERRY,PUDUCHERRY,PUDUCHERRY,All India N.R. Congress,R. Radhakrishnan,"['Road Transport and Highways', 'Shipping']","[31.0, 13.0]",[],[],"[3, 13, 16, 20, 21, 24, 31, 35, 50]",Construction,"1,000,000.00"
192,NIRMAL BANG SECURITIES PRIVATE LIMITED,U99999MH1997PTC110659,HOSHIARPUR,PUNJAB,HOSHIARPUR,Bharatiya Janta Party,Vijay Sampla,['Social Justice and Empowerment'],[1.0],[],[],"[1, 2, 6, 8, 9, 11, 16, 19, 20, 21, 23, 24, 27, 28, 32, 33, 37, 40, 46]",Others,"200,000.00"
193,CONTAINER CORPORATION OF INDIA LIMITED,L63011DL1988GOI030915,AJMER,RAJASTHAN,AJMER,Bharatiya Janta Party,Sanwar Lal Jat,"['Water Resources, River Development and Ganga Rejuvenation']",[15.0],[],[],"[15, 16, 20, 21, 24, 32, 33, 35, 36, 37, 50]","Transport, storage and Communications","11,600,000.00"
194,WAPCOS LIMITED,U74899DL1969GOI005070,JAIPUR RURAL,RAJASTHAN,ALWAR,Bharatiya Janta Party,Rajyavardhan Singh Rathore,['Information and Broadcasting'],[19.0],[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"2,900,000.00"
195,I P SUPPORT SERVICES (INDIA) PVT LTD,U74210DL1967PTC016861,JAIPUR RURAL,RAJASTHAN,ALWAR,Bharatiya Janta Party,Rajyavardhan Singh Rathore,['Information and Broadcasting'],[19.0],[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"1,700,000.00"
196,TRIANZ HOLDINGS PRIVATE LIMITED,U72200KA2006PTC040015,JAIPUR RURAL,RAJASTHAN,ALWAR,Bharatiya Janta Party,Rajyavardhan Singh Rathore,['Information and Broadcasting'],[19.0],[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"700,000.00"
197,DESICCANT ROTORS INTERNATIONAL PRIVATE LIMITED,U74899DL1984PTC017497,JAIPUR RURAL,RAJASTHAN,ALWAR,Bharatiya Janta Party,Rajyavardhan Singh Rathore,['Information and Broadcasting'],[19.0],[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"600,000.00"
198,IDFC SECURITIES LIMITED,U99999MH1993PLC071865,JAIPUR RURAL,RAJASTHAN,ALWAR,Bharatiya Janta Party,Rajyavardhan Singh Rathore,['Information and Broadcasting'],[19.0],[],[],"[1, 2, 6, 8, 9, 11, 16, 19, 20, 21, 23, 24, 27, 28, 32, 33, 37, 40, 46]",Others,0.00
199,KALPATARU POWER TRANSMISSION LIMITED,L40100GJ1981PLC004281,AJMER,RAJASTHAN,JAIPUR,Bharatiya Janta Party,Sanwar Lal Jat,"['Water Resources, River Development and Ganga Rejuvenation']",[15.0],[],[],"[3, 10, 15, 16, 18, 20, 21, 24, 38, 51]","Electricity, Gas & Water companies","7,500,000.00"
200,IFCI LIMITED,L74899DL1993GOI053677,JAIPUR RURAL,RAJASTHAN,JAIPUR,Bharatiya Janta Party,Rajyavardhan Singh Rathore,['Information and Broadcasting'],[19.0],[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"2,600,000.00"
201,COMPUCOM SOFTWARE LIMITED,L72200RJ1995PLC009798,JAIPUR RURAL,RAJASTHAN,JAIPUR,Bharatiya Janta Party,Rajyavardhan Singh Rathore,['Information and Broadcasting'],[19.0],[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"2,200,000.00"
202,METACUBE SOFTWARE PRIVATE LIMITED,U72200RJ2004PTC019247,JAIPUR RURAL,RAJASTHAN,JAIPUR,Bharatiya Janta Party,Rajyavardhan Singh Rathore,['Information and Broadcasting'],[19.0],[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"1,800,000.00"
203,CONSULTING ENGINEERS GROUP LIMITED .,U74140RJ1991PLC006329,JAIPUR RURAL,RAJASTHAN,JAIPUR,Bharatiya Janta Party,Rajyavardhan Singh Rathore,['Information and Broadcasting'],[19.0],[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"1,100,000.00"
204,CONTAINER CORPORATION OF INDIA LIMITED,L63011DL1988GOI030915,AJMER,RAJASTHAN,JAIPUR,Bharatiya Janta Party,Sanwar Lal Jat,"['Water Resources, River Development and Ganga Rejuvenation']",[15.0],[],[],"[15, 16, 20, 21, 24, 32, 33, 35, 36, 37, 50]","Transport, storage and Communications","900,000.00"
205,ORIX LEASING & FINANCIAL SERVICES INDIA LIMITED,U74900MH2006PLC163937,JAIPUR RURAL,RAJASTHAN,JAIPUR,Bharatiya Janta Party,Rajyavardhan Singh Rathore,['Information and Broadcasting'],[19.0],[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"600,000.00"
206,NOCIL LIMITED,L99999MH1961PLC012003,JAIPUR RURAL,RAJASTHAN,JAIPUR,Bharatiya Janta Party,Rajyavardhan Singh Rathore,['Information and Broadcasting'],[19.0],[],[],"[1, 2, 6, 8, 9, 11, 16, 19, 20, 21, 23, 24, 27, 28, 32, 33, 37, 40, 46]",Others,"500,000.00"
207,IMPETUS INFOTECH (INDIA) PRIVATE LIMITED,U72100MP2000PTC014455,JAIPUR RURAL,RAJASTHAN,JAIPUR,Bharatiya Janta Party,Rajyavardhan Singh Rathore,['Information and Broadcasting'],[19.0],[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"500,000.00"
208,PC SOLUTIONS PRIVATE LIMITED,U74899DL1995PTC072980,JAIPUR RURAL,RAJASTHAN,JAIPUR,Bharatiya Janta Party,Rajyavardhan Singh Rathore,['Information and Broadcasting'],[19.0],[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"300,000.00"
209,METALLIZING EQUIPMENT COMPANY PRIVATE LIMITED,U40100RJ1975PTC001631,AJMER,RAJASTHAN,JAIPUR,Bharatiya Janta Party,Sanwar Lal Jat,"['Water Resources, River Development and Ganga Rejuvenation']",[15.0],[],[],"[3, 10, 15, 16, 18, 20, 21, 24, 38, 51]","Electricity, Gas & Water companies","200,000.00"
210,RAMKUMAR MORARKA AND SONS PRIVATE LIMITED,U99999MH1946PTC004824,JAIPUR RURAL,RAJASTHAN,JAIPUR,Bharatiya Janta Party,Rajyavardhan Singh Rathore,['Information and Broadcasting'],[19.0],[],[],"[1, 2, 6, 8, 9, 11, 16, 19, 20, 21, 23, 24, 27, 28, 32, 33, 37, 40, 46]",Others,"200,000.00"
211,HYDERABAD RACE CLUB,U92411TG1971NPL001403,SECUNDERABAD,TELANGANA,HYDERABAD,Bharatiya Janta Party,Bandaru Dattatreya,['Labour and Employment (Independent Charge)'],[49.0],[],[],"[1, 2, 3, 5, 7, 8, 16, 20, 21, 24, 28, 33, 39, 42, 46, 48, 49]","Community, personal & Social Services","5,800,000.00"
212,SIPRA LABS LIMITED,U85195TG1994PLC016912,SECUNDERABAD,TELANGANA,HYDERABAD,Bharatiya Janta Party,Bandaru Dattatreya,['Labour and Employment (Independent Charge)'],[49.0],[],[],"[1, 2, 3, 5, 7, 8, 16, 20, 21, 24, 28, 33, 39, 42, 46, 48, 49]","Community, personal & Social Services","2,700,000.00"
213,SYNGENE INTERNATIONAL LIMITED,L85110KA1993PLC014937,SECUNDERABAD,TELANGANA,HYDERABAD,Bharatiya Janta Party,Bandaru Dattatreya,['Labour and Employment (Independent Charge)'],[49.0],[],[],"[1, 2, 3, 5, 7, 8, 16, 20, 21, 24, 28, 33, 39, 42, 46, 48, 49]","Community, personal & Social Services","1,100,000.00"
214,CHIREC INTERNATIONAL SCHOOLS PRIVATE LIMITED,U80212TG2013PTC090749,SECUNDERABAD,TELANGANA,HYDERABAD,Bharatiya Janta Party,Bandaru Dattatreya,['Labour and Employment (Independent Charge)'],[49.0],[],[],"[1, 2, 3, 5, 7, 8, 16, 20, 21, 24, 28, 33, 39, 42, 46, 48, 49]","Community, personal & Social Services","100,000.00"
215,K-12 EDUCATION MANAGEMENT PRIVATE LIMITED,U80901TG2009PTC065079,SECUNDERABAD,TELANGANA,HYDERABAD,Bharatiya Janta Party,Bandaru Dattatreya,['Labour and Employment (Independent Charge)'],[49.0],[],[],"[1, 2, 3, 5, 7, 8, 16, 20, 21, 24, 28, 33, 39, 42, 46, 48, 49]","Community, personal & Social Services",0.00
216,DELHI MSW SOLUTIONS LIMITED,U90001TG2009PLC063708,SECUNDERABAD,TELANGANA,HYDERABAD,Bharatiya Janta Party,Bandaru Dattatreya,['Labour and Employment (Independent Charge)'],[49.0],[],[],"[1, 2, 3, 5, 7, 8, 16, 20, 21, 24, 28, 33, 39, 42, 46, 48, 49]","Community, personal & Social Services",0.00
217,UNIMED HEALTH CARE PRIVATE LIMITED,U85110TG2006PTC051751,SECUNDERABAD,TELANGANA,HYDERABAD,Bharatiya Janta Party,Bandaru Dattatreya,['Labour and Employment (Independent Charge)'],[49.0],[],[],"[1, 2, 3, 5, 7, 8, 16, 20, 21, 24, 28, 33, 39, 42, 46, 48, 49]","Community, personal & Social Services",0.00
218,HCL CORPORATION PRIVATE LIMITED,U74120DL2008PTC183849,GAUTAM BUDHHA NAGAR,UTTAR PRADESH,BULANDSHAHR,Bharatiya Janta Party,Dr.Mahesh Sharma,"['Tourism (Independent Charge)', 'Culture (Independent Charge)', 'Civil Aviation']","[14.0, 2.0, 36.0]",[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"200,000.00"
219,HCL TALENTCARE PRIVATE LIMITED,U74140DL2011PTC214659,GAUTAM BUDHHA NAGAR,UTTAR PRADESH,BULANDSHAHR,Bharatiya Janta Party,Dr.Mahesh Sharma,"['Tourism (Independent Charge)', 'Culture (Independent Charge)', 'Civil Aviation']","[14.0, 2.0, 36.0]",[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"100,000.00"
220,INTERRA SYSTEMS (INDIA) PRIVATE LIMITED,U72900DL2000PTC104326,GAUTAM BUDHHA NAGAR,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,Bharatiya Janta Party,Dr.Mahesh Sharma,"['Tourism (Independent Charge)', 'Culture (Independent Charge)', 'Civil Aviation']","[14.0, 2.0, 36.0]",[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"2,100,000.00"
221,VERSATILE STRATEGICS PRIVATE LIMITED,U74140DL2011PTC227997,GAUTAM BUDHHA NAGAR,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,Bharatiya Janta Party,Dr.Mahesh Sharma,"['Tourism (Independent Charge)', 'Culture (Independent Charge)', 'Civil Aviation']","[14.0, 2.0, 36.0]",[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"800,000.00"
222,CMA CGM LOGISTICS PARK (DADRI) PRIVATE LIMITED,U63000UP2005PTC036441,GAUTAM BUDHHA NAGAR,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,Bharatiya Janta Party,Dr.Mahesh Sharma,"['Tourism (Independent Charge)', 'Culture (Independent Charge)', 'Civil Aviation']","[14.0, 2.0, 36.0]",[],[],"[15, 16, 20, 21, 24, 32, 33, 35, 36, 37, 50]","Transport, storage and Communications","700,000.00"
223,AJAY INDUSTRIAL CORPORATION LIMITED.,U51909DL2008PLC180573,GHAZIABAD,UTTAR PRADESH,GHAZIABAD,Bharatiya Janta Party,Vijay Kumar Singh,"['Statistics and Programme Implementation (Independent Charge)', 'External Affairs', 'Overseas Indian Affairs']","[44.0, 28.0, 28.0]",[],[],"[9, 11, 12, 16, 20, 21, 24, 26, 27, 28, 30, 31, 32, 34, 37, 41]",Trading,"1,600,000.00"
224,COMPRO TECHNOLOGIES PRIVATE LIMITED,U74899DL2000PTC108219,GHAZIABAD,UTTAR PRADESH,GHAZIABAD,Bharatiya Janta Party,Vijay Kumar Singh,"['Statistics and Programme Implementation (Independent Charge)', 'External Affairs', 'Overseas Indian Affairs']","[44.0, 28.0, 28.0]",[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"1,300,000.00"
225,D B ENGINEERING PRIVATE LTD,U74899DL1986PTC026541,GHAZIABAD,UTTAR PRADESH,GHAZIABAD,Bharatiya Janta Party,Vijay Kumar Singh,"['Statistics and Programme Implementation (Independent Charge)', 'External Affairs', 'Overseas Indian Affairs']","[44.0, 28.0, 28.0]",[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"1,000,000.00"
226,GAURSONS INDIA LIMITED,U74899DL1995PLC064555,GHAZIABAD,UTTAR PRADESH,GHAZIABAD,Bharatiya Janta Party,Vijay Kumar Singh,"['Statistics and Programme Implementation (Independent Charge)', 'External Affairs', 'Overseas Indian Affairs']","[44.0, 28.0, 28.0]",[],[],"[8, 9, 11, 13, 14, 16, 19, 20, 21, 24, 27, 31, 32, 33, 35, 40, 44]",Business Services,"800,000.00"
