d.name,count(r)
Gurdaspur,3
Dhanbad,27
Rupnagar,92
Davanagere,2
Gorakhpur,4
Saharanpur,20
Shahdol,270
Panipat,6
Thoothukudi,21
Bhagalpur,10
Sri Ganganagar,2
Kolkata,197
Bathinda,3
Karnal,6
Ghaziabad,133
Sirmaur,46
Bharuch,488
Gadchiroli,5
Bardhaman,46
Jajpur,32
Basti,1
Una,4
Vadodara,372
Raipur,36
Bangalore Rural,113
Bellary,20
Bhiwani,3
Ramgarh,8
Hazaribagh,4
Lakhimpur Kheri,3
Ambedkar Nagar,8
Mon,1
Korba,9
Bhavnagar,29
Auraiya,7
Satna,10
Guna,2
Rewari,50
Uttara Kannada,4
Warangal,11
Kodagu,1
Surendranagar,6
Koppal,9
Rajnandgaon,7
Balangir,1
Tonk,8
Surat,338
Pune,779
Barnala,189
Aligarh,8
Nandurbar,1
Bhopal,32
Dibrugarh,4
Durg,26
Gadag,5
Jhalawar,1
Latur,1
Dhar,22
Sikar,2
Nadia,2
Golaghat,3
Seoni,1
Anand,23
Salem,31
Hoshiarpur,31
Raisen,32
Hailakandi,1
Banaskantha,2
Shahjahanpur,5
Madurai,19
Bangalore Urban,389
Morena,8
Tirunelveli,78
Theni,3
Nainital,7
Kanpur Nagar,21
Bhilwara,8
Palamu,1
Bidar,2
Amroha,6
Fazilka,6
Chandrapur,18
Yavatmal,14
Murshidabad,1
Barmer,3
Fatehpur,3
Raichur,6
Navsari,1
South East Delhi,20
Rajsamand,4
Valsad,126
Tinsukia,7
Hoshangabad,8
Unnao,6
Tumkur,8
Buxar,2
Chittoor,46
Chitradurga,42
Ujjain,10
Kheda,15
Solan,175
Jalgaon,35
Chhatarpur,1
Janjgir-Champa,2
Hooghly,28
Mumbai,176
Dadra and Nagar Haveli,449
Rajgarh,2
Guntur,22
Karbi Anglong,1
Junagadh,4
Tiruppur,37
Bahraich,3
Parbhani,28
Jamnagar,68
Medak,110
Kottayam,5
Beed,5
Pudukkottai,13
Sindhudurg,3
Nayagarh,1
Nagpur,459
Haveri,2
Satara,60
Nanded,8
Pali,2
South Delhi,14
Aurangabad,246
Moradabad,13
Jaisalmer,38
Hyderabad,159
Katni,6
Chikballapur,18
Agra,16
Pathankot,20
South Sikkim,5
Chandigarh,83
Coimbatore,98
Mathura,7
Begusarai,2
Khordha,36
Nellore,30
Patna,35
Rae Bareli,12
Panchmahal,39
Jaunpur,8
Amethi,1
Purba Medinipur,24
Kanyakumari,26
Vishakhapatnam,114
Hapur,4
Nizamabad,8
Krishnagiri,59
Thiruvananthapuram,5
Delhi,81
Alappuzha,10
Nalgonda,41
Ramanathapuram,1
Betul,1
Udupi,10
Ahmedabad,357
Sehore,64
Chittaurgarh,29
Vizianagaram,22
Ganjam,7
Hamirpur,4
Anuppur,1
Khunti,1
Singrauli,19
Purulia,7
Jagatsinghpur,2
Namakkal,2
Kendujhar,38
Nagapattinam,4
Gurgaon,167
Kathua,3
Gandhinagar,87
Chatra,4
Prakasam,27
Rohtak,5
Dhenkanal,268
Sri Muktsar Sahib,1
Champawat,1
Kurnool,37
Shimoga,4
Dindigul,13
Mumbai Suburban,166
North Delhi,1
Krishna,27
West Singhbhum,4
Dakshina Kannada,4
Muzaffarpur,3
Lucknow,39
Neemuch,1
Gulbarga,13
Vaishali,6
Shajapur,8
Amreli,5
Palakkad,15
Haridwar,232
Kapurthala,4
Kanpur Dehat,1
Gonda,2
Koriya,2
Bijnor,7
Jaipur,142
Sant Kabir Nagar,1
Pathanamthitta,2
Ratnagiri,29
Panchkula,33
Ariyalur,5
Muzaffarnagar,12
Mandi,1
Samastipur,1
Darjeeling,26
Karur,6
North Goa,80
Moga,13
Villupuram,14
Kamrup,85
Tarn Taran,1
Jharsuguda,3
Bankura,12
Ranga Reddy,114
Yanam,2
Ahmednagar,21
West Sikkim,6
Tiruvannamalai,5
Mayurbhanj,3
Balaghat,4
